symbol,close_price,percent_change,total_trades,total_value
BDG,32.6,-14.210526315789473,300.0,9750000.0
CC1,35.3,-10.632911392405063,5200.0,184500000.0
KHW,29.0,-9.375,1200.0,35150000.0
PEG,3.6,-7.6923076923076925,500.0,1800000.0
VNC,37.5,-7.1782178217821775,100.0,3750000.0
TMP,57.7,-6.178861788617886,1000.0,59710000.0
BHA,23.0,-6.122448979591836,700.0,16100000.0
PRT,10.8,-6.086956521739131,3900.0,42060000.0
BSQ,18.0,-5.263157894736842,100.0,1800000.0
TN1,16.3,-3.8348082595870205,19800.0,324620000.0
DTL,11.55,-3.75,4900.0,57680000.0
EVS,5.2,-3.7037037037037033,191800.0,1001960000.0
LBM,33.0,-3.508771929824561,108800.0,3591835000.0
LHC,100.1,-3.3783783783783785,8200.0,822850000.0
TLP,6.4,-3.0303030303030303,8200.0,53060000.0
PTI,31.0,-2.8213166144200628,1500.0,45500000.0
VAV,35.0,-2.7777777777777777,600.0,21000000.0
TVB,7.77,-2.753441802252816,46600.0,363618000.0
BCC,7.5,-2.5974025974025974,52200.0,394020000.0
CLM,73.0,-2.53671562082777,100.0,7300000.0
PMC,136.6,-2.4285714285714284,100.0,13660000.0
G36,12.2,-2.4,211700.0,2567930000.0
VC7,8.2,-2.380952380952381,59900.0,496920000.0
VTR,12.4,-2.3622047244094486,26500.0,330740000.0
F88,179.0,-2.345881069285325,17200.0,3081180000.0
MBB,28.35,-2.2413793103448274,27983900.0,801751910000.0
VLW,36.0,-2.1739130434782608,100.0,3600000.0
BVH,76.6,-2.1711366538952745,394100.0,30322420000.0
DIG,15.8,-2.1671826625387,6036000.0,95964300000.0
CTF,19.0,-2.0618556701030926,304900.0,5699300000.0
