symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
SZL,HOSE,49.0,0.0,-4730375.0,4730375.0,231788375000.0
SGT,HOSE,16.3,0.0,-8144997.0,8144997.0,132763451100.0
ACC,HOSE,12.5,0.0,-7847096.0,7847096.0,98088700000.0
DRC,HOSE,15.65,0.0,-5171962.0,5171962.0,80941205300.0
SZB,HNX,39.3,0.0,-2058700.0,2058700.0,80906910000.0
VSN,UPCOM,17.0,0.0,-3319920.0,3319920.0,56438640000.0
VGI,UPCOM,114.7,0.0,-477365.0,477365.0,54753765500.0
QTP,UPCOM,12.6,0.0,-4259510.0,4259510.0,53669826000.0
EID,HNX,23.4,0.0,-1819302.0,1819302.0,42571666800.0
UIC,HOSE,60.1,0.0,-686460.0,686460.0,41256246000.0
DCL,HOSE,57.0,0.0,-689663.0,689663.0,39310791000.0
MBB,HOSE,28.9,1130153.0,0.0,1130153.0,32661421700.0
PET,HOSE,36.95,0.0,-848915.0,848915.0,31367409250.0
TCT,HOSE,21.0,0.0,-1300390.0,1300390.0,27308190000.0
HCC,HNX,26.0,0.0,-906515.0,906515.0,23569390000.0
CST,HNX,13.2,0.0,-1774524.0,1774524.0,23423716800.0
DAD,HNX,15.9,0.0,-1398904.0,1398904.0,22242573600.0
PDN,HOSE,119.9,0.0,-128023.0,128023.0,15349957700.0
DRL,HOSE,46.3,0.0,-271370.0,271370.0,12564431000.0
CLX,UPCOM,16.3,0.0,-759200.0,759200.0,12374960000.0
