symbol,close_price,percent_change,total_trades,total_value
ILS,26.5,14.71861471861472,1400.0,37100000.0
DCF,41.0,14.206128133704734,1100.0,44480000.0
HHC,118.9,9.88909426987061,100.0,11890000.0
KHW,32.1,9.556313993174061,100.0,3210000.0
FIC,18.1,8.383233532934131,1700.0,30070000.0
NVL122001,108.0,8.108108108108109,1.0,108000.0
GEE,180.4,6.998813760379596,1341300.0,237663350000.0
HRC,45.3,6.965761511216057,500.0,22650000.0
VIC,169.0,6.962025316455696,4219600.0,698585650000.0
PMC,152.0,6.816584680252986,100.0,15200000.0
PET,38.5,6.796116504854369,2018400.0,75443770000.0
VVS,122.0,6.550218340611353,194500.0,23646580000.0
SSH,88.6,6.490384615384616,100.0,8860000.0
TPP,11.7,6.363636363636363,300.0,3520000.0
DPG,49.0,6.175514626218852,1481000.0,70360760000.0
BMJ,10.6,6.0,500.0,5300000.0
G36,13.0,5.691056910569105,565500.0,7398910000.0
MSR,42.5,5.198019801980198,3328500.0,142958230000.0
PBC,6.1,5.172413793103448,4200.0,25610000.0
PGC,15.45,5.1020408163265305,824300.0,12705245000.0
APF,47.4,4.867256637168142,16300.0,772120000.0
DHC,40.6,4.639175257731959,917400.0,36667805000.0
MKP,32.9,4.444444444444445,300.0,9880000.0
HTM,10.0,4.166666666666666,600.0,6040000.0
VIW,12.5,4.166666666666666,1100.0,13840000.0
CMM,20.5,3.535353535353535,100.0,2050000.0
ECO,32.0,3.225806451612903,3500.0,109030000.0
VRE,29.45,3.1523642732049035,2302700.0,67201400000.0
GMD,82.5,3.125,1400300.0,112820730000.0
KLB,15.05,3.0821917808219177,441800.0,6613810000.0
