buy,sell
66600.0,67400.0
66400.0,67200.0
66350.0,67150.0
66250.0,67050.0
66200.0,67000.0
66300.0,67100.0
66050.0,66750.0
182300.0,185300.0
66250.0,66950.0
66100.0,66800.0
66000.0,66700.0
65850.0,66550.0
66150.0,66850.0
65950.0,66650.0
66300.0,67000.0
66900.0,67600.0
66600.0,67300.0
66550.0,67250.0
66650.0,67350.0
66450.0,67150.0
66300.0,66900.0
66400.0,67000.0
66350.0,66950.0
66500.0,67100.0
66550.0,67150.0
66450.0,67050.0
66750.0,67350.0
66600.0,67200.0
66650.0,67250.0
66700.0,67300.0
66900.0,67500.0
67000.0,67600.0
67000.0,67720.0
66950.0,67550.0
67050.0,67650.0
67200.0,67800.0
67350.0,67950.0
67500.0,68100.0
67550.0,68150.0
67750.0,68350.0
67800.0,68400.0
68050.0,68650.0
68050.0,68750.0
67950.0,68650.0
67800.0,68500.0
68000.0,68700.0
68500.0,69200.0
68350.0,69050.0
68250.0,68950.0
68100.0,68800.0
68200.0,68900.0
68150.0,68850.0
68300.0,69000.0
68450.0,69150.0
68900.0,69600.0
69050.0,69750.0
69150.0,69850.0
69500.0,70200.0
69300.0,70000.0
69600.0,70300.0
70300.0,71000.0
70050.0,70750.0
70000.0,70700.0
69900.0,70600.0
70100.0,70800.0
69950.0,70650.0
69650.0,70350.0
68500.0,69800.0
68900.0,69900.0
69100.0,70100.0
69300.0,70300.0
69500.0,70300.0
69550.0,70350.0
69800.0,70600.0
70000.0,70800.0
70150.0,70850.0
70500.0,71200.0
71100.0,71800.0
70800.0,71600.0
71000.0,71800.0
71700.0,72500.0
72500.0,73500.0
72400.0,73600.0
73200.0,74400.0
73000.0,74200.0
72900.0,74100.0
73100.0,74100.0
72750.0,73750.0
72600.0,73600.0
72800.0,73800.0
73300.0,74300.0
73500.0,74500.0
73400.0,74400.0
73900.0,74900.0
74600.0,75600.0
74800.0,75800.0
75800.0,76800.0
77400.0,78400.0
77400.0,79200.0
77800.0,79500.0
74500.0,77500.0
73000.0,76000.0
72500.0,75500.0
72000.0,75000.0
71000.0,74000.0
71500.0,74500.0
72800.0,75300.0
74500.0,76700.0
74000.0,76300.0
74600.0,77000.0
74300.0,76900.0
73500.0,76000.0
74000.0,76500.0
74400.0,76800.0
74700.0,77200.0
75200.0,77700.0
76200.0,78400.0
76400.0,78700.0
75900.0,78300.0
76700.0,78900.0
76950.0,78950.0
75800.0,78400.0
74800.0,77800.0
75500.0,77700.0
76300.0,78500.0
76500.0,78700.0
76600.0,78800.0
77700.0,79500.0
77400.0,79300.0
77600.0,79500.0
77900.0,79800.0
78600.0,81000.0
78800.0,80700.0
79900.0,81900.0
79800.0,82200.0
80200.0,82200.0
80100.0,82400.0
78000.0,80500.0
79200.0,81200.0
79400.0,81400.0
79500.0,81500.0
78600.0,80650.0
78000.0,80300.0
78000.0,80100.0
78800.0,80900.0
79100.0,81100.0
78800.0,80800.0
78200.0,80600.0
78300.0,80700.0
79100.0,81200.0
78900.0,80900.0
79000.0,81100.0
79300.0,81400.0
79500.0,81900.0
80300.0,82300.0
81900.0,84700.0
82300.0,84400.0
81900.0,83900.0
80600.0,83100.0
81800.0,84100.0
81700.0,83700.0
80700.0,83200.0
79800.0,82300.0
83000.0,85200.0
82900.0,85100.0
83500.0,85800.0
83500.0,85900.0
84300.0,86500.0
85100.0,87400.0
86800.0,89100.0
89900.0,92200.0
88800.0,91300.0
86000.0,89000.0
87700.0,90100.0
87500.0,90000.0
87500.0,89900.0
87700.0,90200.0
88700.0,90700.0
88400.0,90400.0
88900.0,90500.0
87700.0,89700.0
87500.0,89400.0
87600.0,89300.0
88300.0,90100.0
88600.0,90200.0
86000.0,88400.0
83050.0,85950.0
80950.0,83000.0
77980.0,79980.0
77480.0,78980.0
76480.0,77980.0
74980.0,76980.0
75480.0,76980.0
75980.0,76980.0
78500.0,80000.0
77500.0,79500.0
77800.0,79800.0
78300.0,79800.0
77000.0,79000.0
76500.0,78500.0
78000.0,80000.0
79000.0,81000.0
78500.0,80500.0
79800.0,81800.0
80000.0,82000.0
81500.0,83500.0
82000.0,84000.0
83000.0,85000.0
84000.0,86000.0
86000.0,88000.0
88000.0,90000.0
87500.0,89500.0
87000.0,89000.0
81000.0,85500.0
82000.0,86000.0
82000.0,85800.0
81900.0,85400.0
80500.0,84000.0
80000.0,83500.0
81000.0,84000.0
82000.0,85000.0
82700.0,85700.0
83700.0,86200.0
82900.0,85400.0
83300.0,85800.0
82800.0,85300.0
83000.0,85500.0
82700.0,85200.0
83600.0,85600.0
84600.0,87100.0
83800.0,86300.0
82600.0,85100.0
83100.0,85100.0
82100.0,84100.0
81800.0,83800.0
82400.0,84400.0
82300.0,84300.0
82700.0,84700.0
82500.0,84500.0
82200.0,84200.0
83500.0,85000.0
83500.0,85300.0
84000.0,85500.0
84500.0,86000.0
84700.0,86200.0
84800.0,86800.0
84400.0,86400.0
84600.0,86600.0
85000.0,87000.0
84900.0,86900.0
85500.0,87500.0
86200.0,88200.0
86400.0,88400.0
86800.0,88800.0
87800.0,89800.0
86800.0,90300.0
88000.0,90500.0
86700.0,90200.0
87700.0,90700.0
88300.0,91300.0
87300.0,90300.0
87600.0,90600.0
88600.0,91100.0
89600.0,91900.0
90000.0,92300.0
89400.0,91700.0
89700.0,92000.0
89000.0,91300.0
88900.0,91200.0
88500.0,90500.0
89000.0,91000.0
89600.0,91600.0
90700.0,92700.0
91100.0,93100.0
90900.0,92900.0
91000.0,93000.0
91800.0,93500.0
92900.0,94400.0
94300.0,95800.0
94800.0,96100.0
96700.0,98200.0
98000.0,99500.0
97800.0,99800.0
94700.0,97700.0
94400.0,97400.0
95100.0,97600.0
95900.0,97900.0
96700.0,98400.0
97400.0,98900.0
98200.0,100200.0
98400.0,100700.0
99500.0,101800.0
99400.0,102100.0
99100.0,101800.0
99500.0,102200.0
98800.0,101300.0
97100.0,100100.0
97700.0,100200.0
99700.0,101900.0
100600.0,103600.0
102200.0,105200.0
103000.0,106500.0
105000.0,107500.0
105500.0,108000.0
113000.0,115500.0
117000.0,120000.0
112000.0,114000.0
122000.0,124000.0
116500.0,119500.0
118500.0,121500.0
118500.0,121300.0
117800.0,119800.0
120200.0,122200.0
115500.0,118200.0
115700.0,118700.0
115500.0,118500.0
116800.0,119300.0
118500.0,121000.0
116500.0,119000.0
115800.0,118300.0
116200.0,118700.0
115500.0,118000.0
116000.0,118500.0
115700.0,118200.0
115800.0,117800.0
115400.0,117700.0
116000.0,118000.0
114900.0,117200.0
115700.0,117700.0
116500.0,118500.0
116800.0,118800.0
117000.0,119000.0
117500.0,120000.0
117800.0,120300.0
117600.0,119600.0
117400.0,119400.0
118000.0,120000.0
117700.0,119700.0
117200.0,119200.0
117500.0,119500.0
118700.0,120700.0
119300.0,121300.0
118900.0,120900.0
118500.0,120500.0
118800.0,120800.0
119000.0,121000.0
119500.0,121500.0
119100.0,121100.0
118600.0,120600.0
119500.0,121000.0
120000.0,122000.0
119600.0,121100.0
119700.0,121200.0
120000.0,121500.0
119900.0,121400.0
121500.0,123500.0
121700.0,123300.0
122200.0,123800.0
122400.0,123800.0
123200.0,124400.0
122700.0,123900.0
123000.0,124200.0
123700.0,124700.0
123500.0,124500.0
124000.0,125000.0
123800.0,124800.0
124400.0,125400.0
125600.0,126600.0
125600.0,127100.0
126100.0,127700.0
126000.0,128000.0
127000.0,128500.0
127800.0,129300.0
129100.0,130600.0
131900.0,133400.0
132400.0,133900.0
132900.0,134400.0
133900.0,135400.0
133800.0,135800.0
133300.0,135300.0
130300.0,133300.0
128400.0,131400.0
128100.0,131100.0
128600.0,131100.0
130300.0,132300.0
130000.0,132000.0
131600.0,133600.0
133100.0,135100.0
132500.0,134500.0
133000.0,135000.0
134500.0,136500.0
134800.0,136800.0
136400.0,138400.0
136000.0,138000.0
135800.0,137800.0
136600.0,138600.0
138100.0,140100.0
138600.0,140600.0
140500.0,142500.0
140200.0,142200.0
140800.0,142800.0
142100.0,144100.0
144100.0,146100.0
146000.0,148000.0
147100.0,149100.0
151500.0,153000.0
150500.0,151500.0
151500.0,152500.0
146600.0,148600.0
147500.0,149500.0
146500.0,148500.0
147200.0,149200.0
146900.0,148400.0
143100.0,145100.0
146100.0,148100.0
145800.0,147800.0
147000.0,149000.0
146200.0,148200.0
145500.0,147500.0
146400.0,148400.0
151200.0,153200.0
147300.0,149300.0
149000.0,151000.0
148300.0,150300.0
147800.0,149800.0
148400.0,150400.0
150900.0,152900.0
151400.0,153400.0
151800.0,153800.0
152900.0,154900.0
152200.0,154200.0
151700.0,153700.0
152500.0,154500.0
154300.0,156300.0
153600.0,155600.0
154200.0,156200.0
154400.0,156400.0
154600.0,156600.0
155500.0,157500.0
157000.0,159000.0
157200.0,159200.0
156800.0,158800.0
157400.0,159400.0
157700.0,159700.0
152700.0,154700.0
150800.0,152800.0
155100.0,157100.0
156000.0,158000.0
156100.0,158100.0
155200.0,157200.0
156300.0,158300.0
157800.0,159800.0
160000.0,162000.0
161500.0,163500.0
160800.0,162800.0
163000.0,165000.0
164100.0,166100.0
168500.0,170500.0
167300.0,169300.0
170200.0,172200.0
172300.0,174300.0
175000.0,177000.0
175300.0,177300.0
181700.0,184200.0
186600.0,189600.0
169000.0,172000.0
163000.0,166000.0
177200.0,180200.0
174200.0,177200.0
173500.0,176500.0
176300.0,179300.0
177400.0,180400.0
176000.0,179000.0
178000.0,181000.0
181600.0,184600.0
182000.0,185000.0
