item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,537220735.0,415566037.0,377895555.0,186066112.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,504676069.0,400443116.0,330970772.0,311000570.0
Các khoản dự phòng,(Reversal of provisions)/provisions,2627754.0,6217687.0,-56710296.0,73936091.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-7127137.0,-6784246.0,-12523193.0,-4669069.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-63333679.0,-64507099.0,-231549336.0,-156540830.0
Chi phí lãi vay,Interest expense,150616097.0,168055974.0,210817674.0,181957153.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,1124679840.0,918991470.0,618901175.0,591750027.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-667877941.0,-98357315.0,493380053.0,304186125.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,18257606.0,-251685258.0,934094909.0,-847407721.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",745771987.0,657878119.0,897226272.0,327368540.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-60822068.0,-24076880.0,-49793260.0,51049353.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-133597882.0,-174764119.0,-189465741.0,-170167746.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-102214734.0,-33217635.0,-60118100.0,-115734842.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-40893806.0,-35854528.0,-29009490.0,-43948525.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,883303002.0,958913854.0,2615215819.0,97095210.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-1425464390.0,-1038116320.0,-643183016.0,-168326440.0
