item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,4035797313.0,2544709773.0,2152652362.0,1835786458.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,4030167242.0,2535474018.0,2144594180.0,1826159404.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,122837940.0,104236513.0,288020444.0,174966702.0
1.1. Tiền,1.1. Cash,122837940.0,104236513.0,288020444.0,174966702.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,,,,
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),504958915.0,1201282675.0,340471025.0,1144647389.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),1788575880.0,150425524.0,521084788.0,375580.0
4. Các khoản cho vay,4. Loans,1565247403.0,1065893244.0,727397183.0,380040717.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,-19023600.0,-19023600.0,-18551069.0,-18078539.0
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,59651246.0,29944782.0,16499858.0,5141097.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,59651246.0,29944782.0,16499858.0,5141097.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,44214348.0,16710469.0,8720028.0,1525397.0
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,15436898.0,13234313.0,7779830.0,3615700.0
Trả trước cho người bán,Prepayments to suppliers,3101477.0,124247.0,250470970.0,104888039.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,5714495.0,5846350.0,19649408.0,34265091.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,2988835.0,3247133.0,3069424.0,3431179.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-3885350.0,-6502850.0,-3517850.0,-3517850.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,5630071.0,9235755.0,8058182.0,9627054.0
1. Tạm ứng,1. Advances,1310000.0,2620000.0,,45000.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",46651.0,32088.0,33940.0,214571.0
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,2870822.0,3297192.0,4677767.0,4742738.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",,,,
8. Thuế GTGT còn được khấu trừ,8. Value Added Tax to be reclaimed,,,,
Thuế và các khoản khác phải thu của nhà nước,Taxes and other receivables from state authorities,19549.0,19549.0,19549.0,58883.0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),Transaction buy backs governmental bond,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,1383049.0,3266926.0,3326926.0,4565862.0
