item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,768543904.0,700045965.0,651590437.0,642242687.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,22055.0,,9116.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,768543904.0,700023911.0,651590437.0,642233570.0
4. Giá vốn hàng bán ,4. Cost of goods sold,656556333.0,590269938.0,525032743.0,539784139.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,111987571.0,109753972.0,126557694.0,102449431.0
6.Doanh thu hoạt động tài chính ,6. Financial income,6115245.0,14616115.0,17683012.0,52925479.0
7. Chi phí tài chính ,7. Financial expenses,36574009.0,40823583.0,44623826.0,23626527.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,36574009.0,40823583.0,44623826.0,23626527.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,996000.0,,,
9. Chi phí bán hàng ,9. Selling expenses,6485248.0,6696122.0,13138683.0,14415686.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,10477204.0,13165303.0,17043069.0,18798960.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,65562355.0,63685079.0,69435128.0,98533737.0
12. Thu nhập khác ,12. Other income,986655.0,68431647.0,18376148.0,6980143.0
13. Chi phí khác ,13.Other expenses,237145.0,64544648.0,469572.0,2307676.0
14. Lợi nhuận khác,14. Other profit ,749510.0,3886999.0,17906577.0,4672467.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,66311865.0,67572078.0,87341704.0,103206205.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,13495312.0,15060563.0,17325860.0,21458011.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,-138865.0,154536.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,52816553.0,52511515.0,70154709.0,81593658.0
Lợi ích của cổ đông thiểu số,Minority's interest,748056.0,221324.0,655232.0,-736536.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,52068496.0,52290191.0,69499478.0,82330194.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),496.0,498.0,662.0,860.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
