item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,791440789.0,703245503.0,698049632.0,650649051.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,125493642.0,42415627.0,32131197.0,22011168.0
1. Tiền,1. Cash,125493642.0,42415627.0,32131197.0,22011168.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,51947651.0,6097651.0,6097651.0,6097651.0
1. Chứng khoán kinh doanh,1. Available for sale securities,1097651.0,1097651.0,1097651.0,1097651.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,50850000.0,5000000.0,5000000.0,5000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,248656951.0,281372865.0,271226310.0,274049192.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,154328617.0,172130537.0,170459470.0,177785055.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,34596156.0,40987292.0,36066824.0,27887619.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,64332897.0,72908254.0,69019873.0,72751875.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-4600719.0,-4653219.0,-4319857.0,-4375357.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,341450987.0,348071689.0,362405498.0,325116448.0
1. Hàng tồn kho,1. Inventories,341450987.0,348071689.0,362405498.0,325116448.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,23891559.0,25287671.0,26188975.0,23374591.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,703418.0,2078507.0,1368921.0,782946.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,23020588.0,23203069.0,24815399.0,22527349.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,167552.0,6095.0,4656.0,64297.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,572083709.0,538404068.0,517842994.0,490980179.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,9922505.0,7025860.0,6015454.0,6132927.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,9922505.0,7025860.0,6015454.0,6132927.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,401716726.0,402620567.0,393040609.0,399399105.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,321849395.0,320393536.0,323113950.0,328528111.0
      - Nguyên giá,    - Cost,481818350.0,473780112.0,471324867.0,470326847.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-159968955.0,-153386576.0,-148210917.0,-141798737.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,61718901.0,64069307.0,51759641.0,52694682.0
      - Nguyên giá,    - Cost,68420125.0,78779771.0,72352521.0,72153584.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-6701224.0,-14710464.0,-20592880.0,-19458902.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,18148430.0,18157724.0,18167018.0,18176313.0
      - Nguyên giá,    - Cost,20510164.0,20510164.0,20510164.0,20510164.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2361734.0,-2352440.0,-2343146.0,-2333852.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
