item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2057.3,2183.54,2318.16,2487.9
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),17068.98,17277.07,17163.98,17483.62
Chỉ số giá thị trường trên thu nhập (P/E),P/E,17.74,17.82,11.22,8.76
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.14,2.25,1.51,1.25
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.15,1.13,0.74,0.57
Tỷ suất cổ tức,Dividend yield,0.01,0.0,0.02,0.05
Beta,Beta,0.29,0.23,0.29,0.42
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,15.42,15.89,10.0,9.67
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,30.25,29.37,29.61,33.38
Tỷ lệ lãi EBIT,EBIT margin,12.46,11.33,12.36,11.27
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,16.82,15.35,16.58,14.34
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,6.15,6.16,6.01,6.25
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,12.16,12.96,13.04,15.71
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),19.33,20.17,24.95,25.75
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.22,4.91,5.13,5.83
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,6.48,9.4,5.54,31.67
Tăng trưởng  lợi nhuận gộp,Gross profit,9.67,8.52,-6.38,22.65
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,8.74,11.6,1.8,28.67
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,6.19,12.1,1.64,29.15
Tăng trưởng tổng tài sản,Total assets,24.6,21.89,11.88,19.61
Tăng trưởng nợ dài hạn,Long-term liabilities,-1.63,566.66,-44.49,40.86
Tăng trưởng nợ phải trả,Liabilities,30.93,27.87,11.22,11.32
Tăng trưởng vốn chủ sở hữu,Owner's equity,13.61,12.74,12.9,35.28
Tăng trưởng vốn điều lệ,Charter capital,15.0,12.0,15.0,40.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.16,0.02,0.05,0.02
Tỷ số thanh toán nhanh,Quick ratio,0.57,0.52,0.55,0.56
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.22,0.03,0.07,0.02
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.0,1.06,1.1,1.16
Khả năng thanh toán lãi vay,Interest coverage,2.66,3.06,2.53,3.2
