item,item_en,2024,2023,2022,2021
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,409014915.0,166530043.0,164254129.0,85157309.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,41478680.0,41505216.0,39846221.0,31245080.0
Các khoản dự phòng,(Reversal of provisions)/provisions,-532762.0,-279356.0,2672257.0,2580084.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-1313017.0,686124.0,3324189.0,11717.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-16485362.0,-19322025.0,-12235237.0,-8867091.0
Chi phí lãi vay,Interest expense,,829496.0,2097130.0,872743.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,432162455.0,189949498.0,199958689.0,110999842.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-387083662.0,-201708651.0,-223376458.0,-32339180.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-113076349.0,8719122.0,1506803.0,-9862886.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",350442055.0,217184934.0,181919696.0,20970666.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,6222162.0,-6280557.0,-4896637.0,-1750689.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,,-829496.0,-2062304.0,-872743.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-49090347.0,-29006143.0,-23659541.0,-9950229.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,203229.0,200.0
