item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,308.78,115.33,246.23,207.58
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),11389.5,11080.73,10969.32,10730.29
Chỉ số giá thị trường trên thu nhập (P/E),P/E,32.39,95.38,59.29,40.47
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.88,0.99,1.33,0.78
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.32,0.47,0.73,0.36
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.71,0.45,0.92,1.67
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,10.81,7.75,6.7,2.27
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.0,0.49,1.24,0.89
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.75,1.05,2.27,1.95
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.56,0.25,0.64,0.57
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,31.36,18.5,-14.8,56.81
Tăng trưởng  lợi nhuận gộp,Gross profit,83.23,37.1,151.78,85.33
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,150.4,-52.97,48.67,11.02
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,167.74,-53.16,18.62,20.36
Tăng trưởng tổng tài sản,Total assets,14.43,27.63,7.18,7.36
Tăng trưởng nợ dài hạn,Long-term liabilities,-100.25,57.28,-55.95,2417.49
Tăng trưởng nợ phải trả,Liabilities,17.64,37.66,9.18,9.7
Tăng trưởng vốn chủ sở hữu,Owner's equity,2.79,1.02,2.23,1.97
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.09,0.06,0.07,0.17
Tỷ số thanh toán nhanh,Quick ratio,0.96,1.22,1.3,1.11
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.5,0.7,0.52,0.35
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.96,1.22,1.3,1.11
