item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,24.42,-650.28,941.33,-1324.1
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),10653.42,10742.9,11475.14,10590.37
Chỉ số giá thị trường trên thu nhập (P/E),P/E,427.89,-10.26,12.91,-4.72
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.98,0.62,1.06,0.59
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,6.75,12.86,7.05,4.96
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.81,1.31,2.03,2.01
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,76.03,-13.7,10.01,-3.43
Tỷ suất lợi nhuận gộp biên,Gross profit margin,55.27,-87.06,70.58,-111.5
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.58,-112.47,52.99,-103.11
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.23,-6.27,8.47,-14.87
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.13,-5.8,8.17,-13.7
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,198.57,-56.16,43.46,-51.29
Tăng trưởng  lợi nhuận gộp,Gross profit,89.56,-154.07,-9.19,-164.28
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-75.02,-186.97,-26.94,-174.48
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-95.81,-193.05,-26.28,-170.86
Tăng trưởng tổng tài sản,Total assets,112.82,46.23,13.89,36.78
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,-100.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,1125.55,318.82,17.12,-66.64
Tăng trưởng vốn chủ sở hữu,Owner's equity,-0.83,36.28,13.77,53.69
Tăng trưởng vốn điều lệ,Charter capital,0.0,45.57,5.0,100.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.14,0.07,2.13,3.22
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.14,0.07,2.13,3.22
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.72,8.02,26.01,23.09
