item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,661.81,631.22,410.55,361.3
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),23768.0,23517.0,23101.0,23419.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,9.59,10.17,14.98,19.07
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.27,0.27,0.27,0.29
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.7,0.66,0.65,0.44
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.68,0.78,1.0,1.09
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,45.12,34.58,24.94,63.1
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,44.23,30.01,23.12,26.4
Tỷ suất lợi nhuận gộp biên,Gross profit margin,15.11,14.77,15.5,12.06
Tỷ lệ lãi EBIT,EBIT margin,6.28,7.25,10.26,2.53
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,10.38,10.2,14.46,6.06
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,2.88,4.92,7.34,1.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.69,0.87,1.03,0.24
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),1.52,1.95,2.69,1.07
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.32,0.42,0.49,0.11
ROE bình quân 4 quý gần nhất,ROE Trailling,6.46,6.19,4.08,3.59
ROA bình quân 4 quý gần nhất,ROA Trailling,1.34,1.25,0.8,0.69
Tăng trưởng  doanh thu thuần,Net revenue,-42.82,-36.05,-29.13,13.87
Tăng trưởng  lợi nhuận gộp,Gross profit,-27.07,-23.08,-22.1,11.02
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,16.95,0.0,28.37,-63.86
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,23.28,0.0,25.93,-67.04
Tăng trưởng tổng tài sản,Total assets,-6.09,-6.83,-7.25,-5.25
Tăng trưởng nợ dài hạn,Long-term liabilities,0.97,9.92,25.06,32.78
Tăng trưởng nợ phải trả,Liabilities,-9.27,-10.49,-9.44,-8.25
Tăng trưởng vốn chủ sở hữu,Owner's equity,-2.05,-2.51,-4.7,-1.8
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.5,0.56,0.54,0.69
Tỷ số thanh toán nhanh,Quick ratio,1.1,1.17,1.14,1.31
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.57,0.62,0.62,0.75
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.39,1.41,1.45,1.58
Khả năng thanh toán lãi vay,Interest coverage,3.92,7.05,6.42,2.57
