item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,688377133.0,605817872.0,520292515.0,350000530.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,212283636.0,134540302.0,101106965.0,72821289.0
1. Tiền,1. Cash,128038059.0,107662315.0,86164805.0,59760034.0
2. Các khoản tương đương tiền,2. Cash equivalents,84245577.0,26877987.0,14942160.0,13061254.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,212169892.0,297184838.0,239824456.0,143168098.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,212169892.0,297184838.0,239824456.0,143168098.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,113854095.0,62717782.0,59016181.0,65970715.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,71125808.0,30673924.0,26072911.0,23152347.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,17463446.0,4286671.0,5021939.0,13612708.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,1500000.0,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,26112936.0,26440163.0,28120825.0,29501073.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-848096.0,-182976.0,-199494.0,-295413.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,113177213.0,86555253.0,100560156.0,53585399.0
1. Hàng tồn kho,1. Inventories,113177213.0,86555253.0,100560156.0,53585399.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,36892298.0,24819696.0,19784757.0,14455029.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,8426612.0,6318011.0,6225964.0,4579974.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,23313816.0,18491906.0,13558580.0,9059815.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,5151870.0,9780.0,213.0,815241.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,342880516.0,247462400.0,240951725.0,228865102.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,15984211.0,6917310.0,6313590.0,8063474.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
