item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3739.73,4439.58,4800.26,4378.5
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),16091.0,17038.0,15751.0,15258.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.1,12.41,11.67,12.93
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.05,3.23,3.56,3.71
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,15.02,20.18,28.78,32.5
Tỷ suất cổ tức,Dividend yield,0.04,0.04,0.04,0.04
Beta,Beta,0.13,0.47,0.46,0.43
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,36.43,33.37,73.76,57.31
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,44.45,62.14,44.01,57.78
Tỷ lệ lãi EBIT,EBIT margin,40.11,58.97,38.44,56.44
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,49.22,70.45,54.64,74.41
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,32.25,47.17,31.03,45.72
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,6.35,7.85,3.89,5.36
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),7.9,9.82,4.82,6.6
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,5.88,7.5,3.74,4.88
ROE bình quân 4 quý gần nhất,ROE Trailling,23.32,28.38,31.73,30.15
ROA bình quân 4 quý gần nhất,ROA Trailling,21.98,26.53,29.0,25.75
Tăng trưởng  doanh thu thuần,Net revenue,-11.03,-15.98,3.39,42.0
Tăng trưởng  lợi nhuận gộp,Gross profit,-38.39,-20.73,144.8,84.09
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-40.27,-21.86,227.34,82.31
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-39.95,-21.88,231.89,79.37
Tăng trưởng tổng tài sản,Total assets,6.72,4.31,-9.9,-22.47
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,-19.67,-60.91,-85.99,-91.53
Tăng trưởng vốn chủ sở hữu,Owner's equity,10.76,13.77,18.18,14.31
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.75,1.61,1.22,0.46
Tỷ số thanh toán nhanh,Quick ratio,3.34,6.66,6.12,5.51
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.95,4.25,3.68,2.69
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.43,6.83,6.23,5.62
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
