item,item_en,2024-Q4,2024-Q3,2024-Q2,2024-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1395854302.0,1170770268.0,1167255724.0,999276150.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,262122486.0,32901825.0,52435667.0,13838910.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1133731815.0,1137868443.0,1114820057.0,985437240.0
4. Giá vốn hàng bán ,4. Cost of goods sold,919889962.0,814705204.0,777788961.0,709191197.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,213841854.0,323163239.0,337031095.0,276246043.0
6.Doanh thu hoạt động tài chính ,6. Financial income,480716039.0,496510080.0,587041022.0,375911464.0
7. Chi phí tài chính ,7. Financial expenses,463259060.0,282495326.0,464161149.0,408049867.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,293977786.0,254303388.0,289213815.0,266330193.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,92190794.0,-2553344.0,-11031117.0,-21010773.0
9. Chi phí bán hàng ,9. Selling expenses,34060174.0,33031541.0,43409333.0,46942307.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,162104725.0,117998604.0,107976959.0,102480538.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,127324728.0,383594504.0,297493559.0,73674021.0
12. Thu nhập khác ,12. Other income,14624130.0,8534917.0,93401798.0,51189619.0
13. Chi phí khác ,13.Other expenses,28592582.0,9700588.0,4675100.0,7776949.0
14. Lợi nhuận khác,14. Other profit ,-13968452.0,-1165671.0,88726698.0,43412670.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,113356276.0,382428833.0,386220257.0,117086691.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,44119292.0,51438950.0,67774715.0,20003948.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-27236382.0,-217706.0,-186636.0,-1098543.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,96473366.0,331207589.0,318632179.0,98181286.0
Lợi ích của cổ đông thiểu số,Minority's interest,-30471292.0,199680920.0,187201775.0,84547242.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,126944658.0,131526670.0,131430404.0,13634044.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
