item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,473907279.0,474309840.0,462573756.0,354997753.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,1357699.0,950829.0,1028799.0,52377.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,472549580.0,473359011.0,461544956.0,354945376.0
4. Giá vốn hàng bán ,4. Cost of goods sold,393846310.0,396570296.0,381467738.0,304762544.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,78703271.0,76788716.0,80077218.0,50182832.0
6.Doanh thu hoạt động tài chính ,6. Financial income,8652360.0,12344728.0,12803596.0,10064638.0
7. Chi phí tài chính ,7. Financial expenses,7835144.0,7521422.0,9857859.0,9921436.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,2432623.0,2579483.0,2514779.0,2530092.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,4568740.0,4510680.0,4482158.0,3677807.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,5397365.0,36718161.0,32121422.0,31774992.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,69554381.0,40383181.0,46419375.0,14873235.0
12. Thu nhập khác ,12. Other income,734611.0,688699.0,712425.0,1141480.0
13. Chi phí khác ,13.Other expenses,1644366.0,4937040.0,13454.0,45133.0
14. Lợi nhuận khác,14. Other profit ,-909755.0,-4248341.0,698972.0,1096347.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,68644626.0,36134840.0,47118347.0,15969582.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,18660821.0,7685972.0,8863547.0,3481893.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-1410122.0,-1989594.0,-2591829.0,-599807.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,51393927.0,30438462.0,40846629.0,13087496.0
Lợi ích của cổ đông thiểu số,Minority's interest,2216435.0,3127252.0,4073848.0,942778.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,49177492.0,27311210.0,36772781.0,12144717.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1983.0,1101.0,1483.0,490.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
