item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,3312411819.0,3949956019.0,2970098878.0,2871962257.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,250246242.0,161731152.0,354150643.0,359498899.0
1. Tiền,1. Cash,190246242.0,161731152.0,354150643.0,248498899.0
2. Các khoản tương đương tiền,2. Cash equivalents,60000000.0,,,111000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,5000000.0,4500000.0,4500000.0,4500000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,5000000.0,4500000.0,4500000.0,4500000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,650702140.0,1113969534.0,1146447563.0,869011341.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,672264509.0,1106018484.0,1157007591.0,875109543.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,21295398.0,46637047.0,31382424.0,28152795.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,14480376.0,18753147.0,15544126.0,22305119.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-57338143.0,-57439143.0,-57486578.0,-56556116.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,2282980334.0,2548406196.0,1425931034.0,1587827114.0
1. Hàng tồn kho,1. Inventories,2283565596.0,2548991458.0,1426516296.0,1588412375.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-585262.0,-585262.0,-585262.0,-585262.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,123483104.0,121349138.0,39069637.0,51124903.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,11539864.0,10319796.0,7770950.0,7243140.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,110000204.0,110487483.0,28003617.0,36308091.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,1943036.0,541858.0,3064444.0,7573671.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,230626.0,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,653671753.0,612779328.0,629060438.0,641074952.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,4683513.0,3898842.0,3898842.0,4650099.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,4683513.0,3898842.0,3898842.0,4650099.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,612364658.0,588786109.0,605237686.0,619953345.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,405067499.0,380206147.0,395368687.0,408301907.0
      - Nguyên giá,    - Cost,1341709114.0,1295934285.0,1288964221.0,1286236850.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-936641615.0,-915728138.0,-893595534.0,-877934943.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,6951248.0,7353988.0,7756728.0,8638062.0
      - Nguyên giá,    - Cost,9978606.0,9978606.0,9978606.0,11819606.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-3027358.0,-2624618.0,-2221878.0,-3181544.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,200345911.0,201225974.0,202112271.0,203013376.0
      - Nguyên giá,    - Cost,245260244.0,245260244.0,245260244.0,245368419.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-44914333.0,-44034269.0,-43147972.0,-42355043.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,5495668.0,9272472.0,8441202.0,8268941.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,5495668.0,9272472.0,8441202.0,8268941.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,4731107.0,5161315.0,5161315.0,5161315.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,11661919.0,11661919.0,11661919.0,11661919.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-6930812.0,-6500604.0,-6500604.0,-6500604.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,26396809.0,5660591.0,6321392.0,3041252.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,6211310.0,5290591.0,6321392.0,2671252.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,20185499.0,370000.0,,370000.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,3966083572.0,4562735348.0,3599159316.0,3513037209.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,2270655074.0,2935959990.0,2045698139.0,1924363074.0
