item,item_en,2024,2023,2022
TÀI SẢN ,ASSETS,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,7615304283.0,7578000812.0,6485154954.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,221563900.0,324257434.0,334627824.0
1. Tiền,1. Cash,183549151.0,74531881.0,305027824.0
2. Các khoản tương đương tiền,2. Cash equivalents,38014749.0,249725553.0,29600000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,38980002.0,39180002.0,121520926.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,34930000.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,38980002.0,39180002.0,86590926.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,7302948505.0,7159041969.0,5791475384.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,656444230.0,317900738.0,170916917.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,837719951.0,1108502552.0,1488920162.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,509202507.0,109645484.0,95324484.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,5773210331.0,5622993196.0,4036313821.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-473628515.0,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,
IV. Hàng tồn kho,IV. Inventories,1714322.0,813889.0,753048.0
1. Hàng tồn kho,1. Inventories,1714322.0,813889.0,753048.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,50097554.0,54707517.0,236777772.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,9777249.0,8452493.0,12347462.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,40320305.0,46255024.0,224430310.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,10729040534.0,11458553391.0,14363682370.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,261113626.0,510948971.0,3417455128.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,41009327.0,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,56400000.0
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,197597000.0,10698023.0,50000000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,22507299.0,500250948.0,3311055128.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,
II. Tài sản cố định,II. Fixed assets,8842354519.0,9399728038.0,7884753661.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,8447997048.0,8994944696.0,7492469917.0
      - Nguyên giá,    - Cost,10380306104.0,10403015588.0,8406449412.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1932309057.0,-1408070892.0,-913979495.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,723833.0,958590.0,1193347.0
      - Nguyên giá,    - Cost,1232473.0,1232473.0,1232473.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-508640.0,-273883.0,-39126.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,393633638.0,403824752.0,391090398.0
      - Nguyên giá,    - Cost,420826944.0,420826944.0,399518015.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-27193306.0,-17002191.0,-8427617.0
III. Bất động sản đầu tư,III. Investment properties,,,
      - Nguyên giá,    - Cost,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,1102226502.0,1073431031.0,2578497296.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,1102226502.0,1073431031.0,2578497296.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,388142321.0,339092800.0,342412078.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",388142321.0,258092800.0,260822078.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,81000000.0,81000000.0,81590000.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-81000000.0,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,135203566.0,135352550.0,140564207.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,69713347.0,61131032.0,59059007.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,8180007.0,8558450.0,7489276.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,
5. Lợi thế thương mại,5. Goodwill,57310212.0,65663068.0,74015924.0
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,18344344818.0,19036554203.0,20848837324.0
NGUỒN VỐN,OWNER'S EQUITY,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,9384682627.0,9300452205.0,13671758880.0
I. Nợ ngắn hạn,I. Short -term liabilities,3338003158.0,3079292265.0,4206972248.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,1386183332.0,1223109691.0,1345356799.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,,,302970000.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,31210631.0,35567588.0,51019684.0
4. Phải trả người lao động,4. Payable to employees,3664843.0,2756171.0,3533788.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,284691284.0,265181719.0,363158483.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,114021887.0,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,182785873.0,189309039.0,676955607.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,1335445307.0,1363368058.0,1463977888.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,,,
13. Quỹ bình ổn giá,13. Price stabilization fund,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,
II. Nợ dài hạn ,II. Long-term liabilities,6046679469.0,6221159941.0,9464786631.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,369157334.0,250864146.0,191037276.0
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,8826.0,13641.0,18455.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,856000000.0,856000000.0,1697692000.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,4742790905.0,5034922125.0,7500626341.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,78722405.0,79360029.0,75412560.0
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,8959662191.0,9736101997.0,7177078445.0
I. Vốn chủ sở hữu,I. Owner's equity,8959662191.0,9736101997.0,7177078445.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,7300000000.0,7300000000.0,4500000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,7300000000.0,7300000000.0,4500000000.0
- Cổ phiếu ưu đãi,- Preferred stock,,,
2. Thặng dư vốn cổ phần,2. Share premium,,,
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,-575837354.0,186649401.0,248194182.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,186649401.0,247103099.0,81270701.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,-762486755.0,-60453698.0,166923481.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,2235499545.0,2249452596.0,2428884263.0
14. Quỹ dự phòng tài chính,14. Financial reserves,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,18344344818.0,19036554203.0,20848837324.0
