item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3963.67,4837.05,4679.63,4638.21
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),16749.2,27870.34,26049.6,26644.07
Chỉ số giá thị trường trên thu nhập (P/E),P/E,5.75,5.81,8.31,7.61
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.28,1.63,3.89,3.53
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.2,3.18,4.07,4.01
Tỷ suất cổ tức,Dividend yield,0.07,0.05,0.04,0.04
Beta,Beta,0.6,0.66,0.41,0.43
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,17.45,26.87,22.26,26.62
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,11.37,9.06,15.54,15.06
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,6.17,5.87,14.86,13.27
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.23,0.95,1.9,1.76
ROE bình quân 4 quý gần nhất,ROE Trailling,17.25,18.61,18.46,18.78
ROA bình quân 4 quý gần nhất,ROA Trailling,5.66,6.19,6.15,6.29
Tăng trưởng  doanh thu thuần,Net revenue,-6.34,5.27,-0.34,4.98
Tăng trưởng  lợi nhuận gộp,Gross profit,-58.38,65.95,-10.17,-2.46
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-36.95,57.1,6.84,31.3
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-18.82,28.35,2.9,46.84
Tăng trưởng tổng tài sản,Total assets,16.27,11.86,13.71,15.39
Tăng trưởng nợ dài hạn,Long-term liabilities,-0.36,0.34,12.72,6.71
Tăng trưởng nợ phải trả,Liabilities,17.36,10.12,15.03,19.57
Tăng trưởng vốn chủ sở hữu,Owner's equity,72.3,72.3,0.0,0.0
Tăng trưởng vốn điều lệ,Charter capital,72.3,72.3,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.02,0.02,0.01,0.02
Tỷ số thanh toán nhanh,Quick ratio,1.21,1.27,1.29,1.31
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.82,0.93,0.95,0.97
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.21,1.27,1.29,1.31
