item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,422295542.0,416133996.0,399116914.0,392812030.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,39083681.0,10024754.0,46757924.0,141917566.0
1. Tiền,1. Cash,39083681.0,10024754.0,46757924.0,141917566.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,70747463.0,253679805.0,191028201.0,90581550.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,36513830.0,42914646.0,31481345.0,32726766.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,9858919.0,20220046.0,21321902.0,4562327.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,128500000.0,80000000.0,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,24995756.0,62666155.0,58845995.0,53913499.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-621042.0,-621042.0,-621042.0,-621042.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,305149853.0,149389325.0,158040473.0,159110188.0
1. Hàng tồn kho,1. Inventories,305149853.0,149389325.0,158040473.0,159110188.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,7314545.0,3040113.0,3290317.0,1202726.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,2973933.0,3040113.0,3175492.0,1202726.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,4339612.0,,114825.0,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,1000.0,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1451674281.0,1323489053.0,1319797317.0,1307751085.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,14158045.0,14158045.0,14158045.0,14158045.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,14158045.0,14158045.0,14158045.0,14158045.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,178175066.0,151801195.0,155126705.0,159759776.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,88704710.0,60168501.0,61331673.0,63802406.0
      - Nguyên giá,    - Cost,158049571.0,129162511.0,127808511.0,127808511.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-69344861.0,-68994010.0,-66476838.0,-64006105.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,89470356.0,91632694.0,93795032.0,95957370.0
      - Nguyên giá,    - Cost,102674466.0,102674466.0,102674466.0,102674466.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-13204109.0,-11041772.0,-8879434.0,-6717096.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,,,,
      - Nguyên giá,    - Cost,185000.0,185000.0,185000.0,185000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-185000.0,-185000.0,-185000.0,-185000.0
III. Bất động sản đầu tư,III. Investment properties,8668421.0,8668421.0,8668421.0,8668421.0
      - Nguyên giá,    - Cost,8668421.0,8668421.0,8668421.0,8668421.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,435235950.0,19680639.0,11930639.0,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,435235950.0,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,,19680639.0,11930639.0,
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,777965983.0,1095500000.0,1095500000.0,1095500000.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",399765983.0,398000000.0,398000000.0,398000000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,378200000.0,697500000.0,697500000.0,697500000.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,37470816.0,33680754.0,34413507.0,29664844.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,37377799.0,33680754.0,34413507.0,29664844.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,93017.0,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
