item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,1538918565.0,1240532854.0,1307182881.0,871342479.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,92525120.0,111113116.0,172108698.0,170146778.0
Các khoản dự phòng,(Reversal of provisions)/provisions,940086.0,-6603925.0,-17127288.0,-2869464.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-64877.0,60514.0,-46075.0,-148378.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-103961192.0,-77819985.0,-118284525.0,-48613423.0
Chi phí lãi vay,Interest expense,13860.0,20863.0,38677.0,27578.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,1528371562.0,1267303436.0,1343872370.0,989885571.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,54219991.0,16896136.0,107351486.0,-8529515.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-65320944.0,-91678005.0,228669253.0,35661037.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",-3461308.0,-56555152.0,138405620.0,-49780961.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,13842823.0,33949164.0,59501403.0,-22779397.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-13860.0,-20863.0,-38677.0,-27578.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-302495160.0,-258593390.0,-267472430.0,-130875410.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-9332054.0,-10746352.0,-7449939.0,-14413129.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,1215811049.0,900554974.0,1602839086.0,799140619.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-122730595.0,-108998281.0,-57978690.0,-69983723.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,1501908.0,621967.0,3400228.0,180391.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-1288000000.0,-1130000000.0,-1660000000.0,-942000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",938000000.0,910000000.0,1435000000.0,817000000.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
