item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,436465751.0,407071928.0,405095496.0,315020972.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,87755604.0,49872191.0,103829867.0,119506061.0
1. Tiền,1. Cash,6755604.0,9872191.0,8829867.0,25006061.0
2. Các khoản tương đương tiền,2. Cash equivalents,81000000.0,40000000.0,95000000.0,94500000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,207700000.0,180600000.0,168100000.0,79500000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,207700000.0,180600000.0,168100000.0,79500000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,42055465.0,30824130.0,32486135.0,32038118.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,38274809.0,26407581.0,22855606.0,23964713.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,151500.0,217893.0,4695639.0,288166.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,10393664.0,4198655.0,4934890.0,7785239.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-6764508.0,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,86634667.0,123332564.0,69129267.0,70048384.0
1. Hàng tồn kho,1. Inventories,86634667.0,123332564.0,69129267.0,70048384.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,12320016.0,22443044.0,31550227.0,13928409.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,134770.0,22441949.0,30998108.0,13234732.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,12185246.0,1096.0,552119.0,693677.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1273372277.0,1270075546.0,1263012580.0,1273074777.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,458803669.0,464608073.0,472146763.0,483900548.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,458760752.0,464560469.0,472094472.0,483843569.0
      - Nguyên giá,    - Cost,868772161.0,865434429.0,864609594.0,882081234.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-410011409.0,-400873960.0,-392515122.0,-398237665.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,42917.0,47604.0,52292.0,56979.0
      - Nguyên giá,    - Cost,1338602.0,1338602.0,1338602.0,1338602.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1295685.0,-1290998.0,-1286310.0,-1281623.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,137302037.0,126178706.0,113525767.0,112849506.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,137302037.0,126178706.0,113525767.0,112849506.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,664715046.0,666370212.0,664613725.0,664613725.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",342886601.0,342886601.0,342886601.0,342886601.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,324501345.0,324501345.0,324501345.0,324501345.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-2672900.0,-1017734.0,-2774221.0,-2774221.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,12551525.0,12918555.0,12726325.0,11710999.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,5183450.0,5550480.0,5358250.0,4342924.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,7368075.0,7368075.0,7368075.0,7368075.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1709838028.0,1677147474.0,1668108076.0,1588095750.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,179908433.0,199701849.0,190546985.0,134304468.0
I. Nợ ngắn hạn,I. Short -term liabilities,161872916.0,187411152.0,178001107.0,121503409.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,7345202.0,5217687.0,5754589.0,2532677.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,2327484.0,30973936.0,14636005.0,14658996.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,11552074.0,26062079.0,22791565.0,907912.0
4. Phải trả người lao động,4. Payable to employees,48445281.0,25659392.0,21885256.0,14095851.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,456637.0,,,
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,49300752.0,47932476.0,53898313.0,43050783.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,,,,
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,42445486.0,51565581.0,59035379.0,46257190.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,18035517.0,12290698.0,12545879.0,12801060.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,,,,
7. Phải trả dài hạn khác,7. Other long-term liabilities,,,,
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,,,,
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,18035517.0,12290698.0,12545879.0,12801060.0
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,1529929595.0,1477445625.0,1477561091.0,1453791281.0
I. Vốn chủ sở hữu,I. Owner's equity,1529929595.0,1477445625.0,1477561091.0,1453791281.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,1125000000.0,1125000000.0,1125000000.0,1125000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,1125000000.0,1125000000.0,1125000000.0,1125000000.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,,,,
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,224806345.0,224806345.0,224806345.0,193511616.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,180123250.0,127639280.0,127754745.0,135279665.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,,,78750000.0,127532729.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,180123250.0,127639280.0,49004745.0,7746936.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,1709838028.0,1677147474.0,1668108076.0,1588095750.0
