item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,141578224199.0,123027063880.0,147423365944.0,167126456808.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,2744022.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,141578224199.0,123027063880.0,147423365944.0,167123712786.0
4. Giá vốn hàng bán ,4. Cost of goods sold,135529558223.0,122535994150.0,137663837919.0,151027307397.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,6048665976.0,491069730.0,9759528025.0,16096405389.0
6.Doanh thu hoạt động tài chính ,6. Financial income,1913258469.0,2230357607.0,2652368561.0,1750275300.0
7. Chi phí tài chính ,7. Financial expenses,480895842.0,799915742.0,1154774798.0,923195487.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,273642324.0,260793426.0,287654760.0,252789590.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,822530785.0,652066553.0,1032111955.0,908980731.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,741796094.0,561376142.0,623486470.0,514762438.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,5916701724.0,708068900.0,9601523363.0,15499742031.0
12. Thu nhập khác ,12. Other income,42167715.0,30070365.0,40237226.0,87017979.0
13. Chi phí khác ,13.Other expenses,11846029.0,2140454.0,2425566.0,951864.0
14. Lợi nhuận khác,14. Other profit ,30321685.0,27929911.0,37811660.0,86066116.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,5947023409.0,735998811.0,9639335022.0,15585808147.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,757742998.0,135164782.0,1036943196.0,890394134.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,9742441.0,9812854.0,26077224.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,5189280411.0,591091587.0,8592578972.0,14669336789.0
Lợi ích của cổ đông thiểu số,Minority's interest,3338349.0,-40039162.0,-57192511.0,-56497064.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,5185942062.0,631130749.0,8649771483.0,14725833853.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1035.0,203.0,2789.0,4750.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
