item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3995.98,2843.1,2404.43,2089.38
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),34499.89,31746.15,29985.64,28654.59
Chỉ số giá thị trường trên thu nhập (P/E),P/E,14.21,17.83,16.43,22.3
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.65,1.6,1.32,1.63
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.03,0.95,0.73,0.85
Tỷ suất cổ tức,Dividend yield,0.02,0.02,0.02,0.06
Beta,Beta,0.9,0.76,0.83,1.03
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,12.89,17.08
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,11.82,15.45
Tỷ suất lợi nhuận gộp biên,Gross profit margin,-0.05,-5.82,-9.06,-5.35
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,7.45,5.51,4.64,4.0
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,12.41,9.58,8.55,7.51
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.09,0.89,0.84,0.84
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,2.79,-0.64,-1.49,10.48
Tăng trưởng  lợi nhuận gộp,Gross profit,-100.93,-163.75,-266.88,-230.92
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,39.5,19.09,11.25,-15.41
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,40.55,18.24,15.08,-18.23
Tăng trưởng tổng tài sản,Total assets,16.17,13.65,9.64,18.97
Tăng trưởng nợ dài hạn,Long-term liabilities,1.41,3.69,-24.85,-27.52
Tăng trưởng nợ phải trả,Liabilities,16.94,14.52,10.23,22.32
Tăng trưởng vốn chủ sở hữu,Owner's equity,8.67,5.87,4.65,-3.43
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.06,0.04,0.16,0.07
Tỷ số thanh toán nhanh,Quick ratio,2.32,2.97,3.97,3.61
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",2.03,2.58,3.45,3.22
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.32,2.97,3.97,3.61
