item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,53233447.0,88679356.0,82559514.0,73026278.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,23763347.0,23538591.0,23880562.0,24692922.0
Các khoản dự phòng,(Reversal of provisions)/provisions,42057.0,,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,,,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-12756514.0,-11647427.0,,-11793142.0
Chi phí lãi vay,Interest expense,,-10879.0,-24312.0,
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,64282338.0,100559642.0,106415764.0,85926058.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,8618158.0,-9990821.0,-4526244.0,-5386325.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-10287550.0,5047548.0,-2462617.0,407148.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",41771191.0,19959317.0,-7604843.0,-91700096.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,3878963.0,-5678901.0,-7967639.0,-1565554.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,,-10879.0,-24312.0,
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-5000000.0,-23000000.0,,-10000000.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,552229.0,406259.0,257088.0,286750.0
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-40924980.0,-3716200.0,-21660029.0,81043936.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,62890348.0,83575964.0,62427168.0,59011917.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-14743762.0,-28443515.0,-15357483.0,-24450265.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,-1255253.0,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-23000000.0,-145300000.0,,-148100000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",26200000.0,158100000.0,,133600000.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,,,
