item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,598.63,1140.83,1117.9,1545.92
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),16514.0,16519.0,15934.0,20844.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,41.68,28.05,12.84,11.13
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.51,1.94,0.9,0.83
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,5.48,4.86,2.75,1.47
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.18,0.19,-0.03,0.16
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,92.74,111.35,160.86,101.61
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,92.68,103.04,118.17,85.86
Tỷ suất lợi nhuận gộp biên,Gross profit margin,1.97,9.03,6.07,5.43
Tỷ lệ lãi EBIT,EBIT margin,13.3,9.03,5.11,5.24
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,13.5,9.57,5.36,6.2
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.27,2.85,0.89,0.71
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.28,1.13,0.35,0.39
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),1.93,1.83,1.02,1.58
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.36,0.32,0.09,0.09
ROE bình quân 4 quý gần nhất,ROE Trailling,4.3,7.58,7.03,10.72
ROA bình quân 4 quý gần nhất,ROA Trailling,0.86,1.43,1.25,1.73
Tăng trưởng  doanh thu thuần,Net revenue,-45.29,23.26,-17.4,20.0
Tăng trưởng  lợi nhuận gộp,Gross profit,-61.75,194.69,-65.23,1.96
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,247.78,1205.36,-88.75,61.93
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-53.08,648.4,-78.13,89.67
Tăng trưởng tổng tài sản,Total assets,37.9,47.76,41.98,19.88
Tăng trưởng nợ dài hạn,Long-term liabilities,146.5,239.01,156.36,96.02
Tăng trưởng nợ phải trả,Liabilities,18.74,33.18,32.18,16.36
Tăng trưởng vốn chủ sở hữu,Owner's equity,125.03,109.44,73.64,35.18
Tăng trưởng vốn điều lệ,Charter capital,140.0,100.0,100.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.02,0.07,0.26
Tỷ số thanh toán nhanh,Quick ratio,1.46,1.27,1.44,1.15
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.47,0.36,0.44,0.43
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.39,2.06,1.9,1.46
Khả năng thanh toán lãi vay,Interest coverage,1.83,1.67,1.14,1.23
