item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1249490060.0,940345026.0,1031960299.0,893310770.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,96247909.0,52257398.0,125130823.0,102419640.0
1. Tiền,1. Cash,90235070.0,8814879.0,77400925.0,31558793.0
2. Các khoản tương đương tiền,2. Cash equivalents,6012839.0,43442519.0,47729898.0,70860847.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,851036017.0,594705390.0,605832522.0,543483366.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,851036017.0,594705390.0,605832522.0,543483366.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,217177965.0,200516045.0,231174180.0,191018813.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,190768310.0,157969922.0,119812150.0,130115754.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,16096601.0,35846622.0,100964742.0,57021410.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,13008800.0,9470468.0,13343149.0,7256774.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-2695747.0,-2770967.0,-2945861.0,-3375126.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,17993208.0,17975621.0,21142523.0,23638272.0
1. Hàng tồn kho,1. Inventories,17993208.0,17975621.0,21142523.0,23638272.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,67034961.0,74890571.0,48680252.0,32750680.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,9212374.0,11386916.0,14173145.0,2149299.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,57822587.0,63503656.0,34507107.0,30506074.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,95307.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1498960551.0,1519829680.0,1170318850.0,1166095239.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1293218763.0,1440451541.0,984816648.0,1031204698.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1187289983.0,1334255731.0,875444269.0,924734195.0
      - Nguyên giá,    - Cost,2977976166.0,2969020219.0,2376605650.0,2323331166.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1790686182.0,-1634764488.0,-1501161382.0,-1398596970.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,105928779.0,106195811.0,109372380.0,106470503.0
      - Nguyên giá,    - Cost,128789276.0,124306359.0,123297359.0,117062862.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-22860496.0,-18110548.0,-13924979.0,-10592359.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,157659818.0,42238563.0,142596494.0,77806187.0
