item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,425924734.0,133626760.0,163067054.0,139000230.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,336917.0,925946.0,7101765.0,434938.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,425587817.0,132700813.0,155965289.0,138565292.0
4. Giá vốn hàng bán ,4. Cost of goods sold,316392228.0,66370832.0,88785126.0,90122781.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,109195588.0,66329981.0,67180163.0,48442511.0
6.Doanh thu hoạt động tài chính ,6. Financial income,2514806.0,1584674.0,2982540.0,1344737.0
7. Chi phí tài chính ,7. Financial expenses,7390424.0,8390501.0,9016014.0,4713670.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,7390424.0,8390501.0,9016014.0,4713670.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,-923594.0,743747.0,386985.0,5546.0
9. Chi phí bán hàng ,9. Selling expenses,17019341.0,7592237.0,8167656.0,4858927.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,40628200.0,20494484.0,28108737.0,12513712.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,45748835.0,32181180.0,25257283.0,27706486.0
12. Thu nhập khác ,12. Other income,713398.0,44294843.0,200131.0,95041.0
13. Chi phí khác ,13.Other expenses,704344.0,42315341.0,7671150.0,257819.0
14. Lợi nhuận khác,14. Other profit ,9053.0,1979501.0,-7471020.0,-162778.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,45757888.0,34160681.0,17786263.0,27543708.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,12458452.0,3888697.0,6473540.0,5438276.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-2863021.0,2782178.0,-709726.0,489387.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,36162457.0,27489806.0,12022449.0,21616045.0
Lợi ích của cổ đông thiểu số,Minority's interest,2476608.0,2255919.0,4757794.0,-2270717.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,33685849.0,25233887.0,7264654.0,23886762.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),255.0,208.0,73.0,251.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
