item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,861605301.0,1304115194.0,1310531716.0,1456082915.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,8799566.0,9623735.0,9775573.0,10270383.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,852805735.0,1294491459.0,1300756143.0,1445812532.0
4. Giá vốn hàng bán ,4. Cost of goods sold,561491780.0,943311791.0,910807947.0,1038014745.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,291313955.0,351179669.0,389948196.0,407797786.0
6.Doanh thu hoạt động tài chính ,6. Financial income,7809690.0,7618376.0,12039399.0,6613461.0
7. Chi phí tài chính ,7. Financial expenses,29839377.0,24640998.0,29911110.0,21416611.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,29839377.0,22391598.0,29543898.0,21414885.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,212685.0,725747.0,668377.0,-1238418.0
9. Chi phí bán hàng ,9. Selling expenses,37710272.0,29721109.0,35942861.0,33023030.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,100197194.0,148560953.0,139973368.0,144758548.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,131589487.0,156600732.0,196828632.0,213974641.0
12. Thu nhập khác ,12. Other income,45303412.0,3050676.0,2356955.0,3183092.0
13. Chi phí khác ,13.Other expenses,51726721.0,5022878.0,3053845.0,1478074.0
14. Lợi nhuận khác,14. Other profit ,-6423308.0,-1972202.0,-696890.0,1705017.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,125166179.0,154628529.0,196131742.0,215679659.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,28124191.0,32558137.0,34875853.0,44281609.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-301182.0,-521151.0,6042842.0,1986314.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,97343170.0,122591543.0,155213047.0,169411736.0
Lợi ích của cổ đông thiểu số,Minority's interest,7851855.0,-184726.0,11600710.0,2303649.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,89491315.0,122776269.0,143612338.0,167108088.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),679.0,1289.0,1508.0,1419.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
