item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2923.55,3075.8,3034.82,2878.04
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),18500.0,17985.0,17174.0,19117.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.43,10.03,11.22,12.33
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.65,1.72,1.98,1.86
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,11.33,9.96,9.1,16.34
Tỷ suất cổ tức,Dividend yield,0.09,0.09,0.08,0.07
Beta,Beta,0.28,0.46,0.52,0.55
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,36.25,24.71,29.62,30.37
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,24.74,19.05,27.08,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,33.85,38.1,31.04,47.81
Tỷ lệ lãi EBIT,EBIT margin,26.01,36.83,26.95,44.09
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,32.0,38.91,27.86,53.06
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,21.01,29.7,21.47,35.66
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.1,4.82,4.1,4.09
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.77,6.4,5.51,5.09
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.6,3.78,3.44,3.76
ROE bình quân 4 quý gần nhất,ROE Trailling,16.63,17.52,17.33,16.48
ROA bình quân 4 quý gần nhất,ROA Trailling,13.47,14.38,14.36,13.85
Tăng trưởng  doanh thu thuần,Net revenue,-1.92,42.13,62.12,-3.52
Tăng trưởng  lợi nhuận gộp,Gross profit,-1.72,4.49,11.98,1.89
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-25.61,11.9,30.98,0.98
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-21.19,5.08,26.72,0.19
Tăng trưởng tổng tài sản,Total assets,6.26,4.67,6.78,2.14
Tăng trưởng nợ dài hạn,Long-term liabilities,427.75,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,64.8,19.21,28.74,21.32
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.83,1.73,1.36,0.81
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,2.59,0.91,0.97,4.26
Tỷ số thanh toán nhanh,Quick ratio,5.09,3.33,2.61,7.67
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",3.96,1.72,1.6,5.8
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,5.13,3.37,2.63,7.78
Khả năng thanh toán lãi vay,Interest coverage,123.46,262.06,375.6,795.36
