item,item_en,2024,2023,2022,2021
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,3791498827.0,3172994143.0,3535833245.0,3513116362.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,781437920.0,510579888.0,371043703.0,350756710.0
1. Tiền,1. Cash,686950920.0,476759888.0,331043703.0,240585562.0
2. Các khoản tương đương tiền,2. Cash equivalents,94487000.0,33820000.0,40000000.0,110171148.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,1271526985.0,1112061030.0,1237535940.0,1154624329.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,1271526985.0,1112061030.0,1237535940.0,1154624329.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1325869748.0,1325931499.0,1559874587.0,1462786989.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,1185106268.0,1230754428.0,1412958963.0,1240674877.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,83840928.0,62640734.0,55742741.0,71773487.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,106368931.0,78178480.0,143056316.0,197439616.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-49446379.0,-45642143.0,-51884466.0,-47110223.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,1033.0,9233.0
IV. Hàng tồn kho,IV. Inventories,280043611.0,133218523.0,287691438.0,461407206.0
1. Hàng tồn kho,1. Inventories,280043611.0,133218523.0,290560830.0,463877377.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,-2869391.0,-2470170.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,132620563.0,91203203.0,79687577.0,83541126.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,79654623.0,60697320.0,57055453.0,38187048.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,51693002.0,29513173.0,21040363.0,43280886.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,1272937.0,992710.0,1591761.0,2073193.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3885556125.0,3680778687.0,3026037896.0,2742808850.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,25969381.0,34471981.0,33197005.0,27913267.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,25969381.0,34471981.0,33197005.0,27913267.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,2224006501.0,2371217408.0,2355191223.0,1460573246.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1795364747.0,1924656894.0,1898619262.0,1060758454.0
      - Nguyên giá,    - Cost,3839857192.0,3656771336.0,3337275858.0,2212592982.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2044492446.0,-1732114442.0,-1438656596.0,-1151834528.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,103991.0
      - Nguyên giá,    - Cost,,,,211867.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,-107876.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,428641754.0,446560514.0,456571961.0,399710800.0
      - Nguyên giá,    - Cost,703256992.0,679454890.0,643884996.0,551695048.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-274615238.0,-232894377.0,-187313035.0,-151984247.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,1120806486.0,792225304.0,168197170.0,902936874.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,190000.0,380000.0,240000.0,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,1120616486.0,791845304.0,167957170.0,902936874.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,94006298.0,95291473.0,81417871.0,67727037.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",92006298.0,93291473.0,81417871.0,67727037.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,2000000.0,2000000.0,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,420767459.0,387572521.0,388034627.0,283658427.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,420493253.0,387118684.0,387370379.0,281815450.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,86853.0,168735.0,281395.0,800879.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,187353.0,285103.0,382852.0,1042097.0
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,7677054952.0,6853772830.0,6561871141.0,6255925212.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,3999539287.0,3509624915.0,3439128593.0,3566050775.0
I. Nợ ngắn hạn,I. Short -term liabilities,3056272395.0,2774430729.0,2931044402.0,2595640669.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,692588598.0,758643312.0,806590609.0,784854930.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,135109833.0,70638715.0,100693549.0,94875515.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,56021922.0,60602267.0,43841966.0,42671793.0
4. Phải trả người lao động,4. Payable to employees,275462597.0,204275599.0,220483817.0,270946425.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,627587519.0,434193834.0,570075929.0,394655029.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,241948362.0,191694525.0,191372450.0,137920932.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,83336684.0,116928062.0,86694213.0,80866708.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,898099854.0,899409669.0,882151399.0,746981327.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,6515814.0,4401073.0,9466491.0,8495346.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,39601212.0,33643673.0,19673978.0,33372663.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,943266892.0,735194186.0,508084191.0,970410106.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,25827536.0,32383323.0,32579480.0,16779512.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,18094076.0,4655319.0,2421158.0,8011342.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,873831928.0,667033109.0,442881363.0,895365593.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,25513351.0,26845946.0,27488851.0,28044762.0
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,4276489.0,2713339.0,22208896.0
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,3677515665.0,3344147915.0,3122742548.0,2689874437.0
I. Vốn chủ sở hữu,I. Owner's equity,3677515665.0,3344147915.0,3122742548.0,2689874437.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,2113396070.0,1900269960.0,1505960320.0,1089988830.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,2113396070.0,1900269960.0,1505960320.0,1089988830.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,27062540.0,27062540.0,331216950.0,599555780.0
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,371662664.0,371662664.0,328912816.0,229833073.0
5. Cổ phiếu quỹ (*),5. Treasury shares,-388000.0,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,-2329286.0,-2802521.0,-682489.0,403541.0
8. Quỹ đầu tư phát triển,8. Investment and development fund,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,413313754.0,342109660.0,308400731.0,244961804.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,64673198.0,11434141.0,3134203.0,43334709.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,348640556.0,330675518.0,305266529.0,201627095.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,754797922.0,705845612.0,648934220.0,525131409.0
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,7677054952.0,6853772830.0,6561871141.0,6255925212.0
