item,item_en,2025-Q3,2025-Q2,2025-Q1,2024-Q4
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1933.4,1945.92,1865.3,1848.29
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),18850.0,18298.0,17981.0,19341.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,20.28,21.22,20.37,26.65
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.08,2.26,2.11,2.55
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.24,3.61,3.63,4.98
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.36,1.34,1.2,1.17
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,53.16,67.93,64.0,76.69
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,20.51,20.88,40.12,22.23
Tỷ suất lợi nhuận gộp biên,Gross profit margin,19.76,17.35,17.68,19.86
Tỷ lệ lãi EBIT,EBIT margin,8.96,6.81,7.15,7.7
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,12.31,11.05,11.41,12.16
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,6.47,4.66,5.28,5.54
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.42,2.26,2.52,2.22
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),4.04,3.39,3.36,3.16
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.44,1.05,1.21,1.05
ROE bình quân 4 quý gần nhất,ROE Trailling,12.99,13.09,12.57,12.52
ROA bình quân 4 quý gần nhất,ROA Trailling,4.62,4.86,4.67,4.62
Tăng trưởng  doanh thu thuần,Net revenue,11.29,10.79,23.23,14.09
Tăng trưởng  lợi nhuận gộp,Gross profit,13.58,28.02,15.09,12.26
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,11.47,54.39,20.67,66.32
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,6.27,42.19,13.13,85.84
Tăng trưởng tổng tài sản,Total assets,30.16,12.44,7.83,11.71
Tăng trưởng nợ dài hạn,Long-term liabilities,150.89,4.48,4.58,11.2
Tăng trưởng nợ phải trả,Liabilities,46.51,12.62,5.52,13.12
Tăng trưởng vốn chủ sở hữu,Owner's equity,11.32,12.22,10.43,10.2
Tăng trưởng vốn điều lệ,Charter capital,11.23,11.21,10.97,11.22
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.16,0.15,0.25
Tỷ số thanh toán nhanh,Quick ratio,1.5,1.11,1.21,1.15
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.9,0.54,0.56,0.66
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.58,1.21,1.32,1.23
Khả năng thanh toán lãi vay,Interest coverage,6.63,5.98,7.08,8.65
