item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1789.53,1588.43,1227.07,1267.67
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13651.98,13045.66,12623.78,12556.6
Chỉ số giá thị trường trên thu nhập (P/E),P/E,17.49,19.64,24.45,16.17
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.29,2.39,2.38,1.63
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.35,3.54,3.47,2.25
Tỷ suất cổ tức,Dividend yield,0.03,0.03,0.03,0.05
Beta,Beta,0.28,0.21,0.08,-0.02
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,13.72,15.45,19.05,12.47
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,29.14,29.44,24.62,22.87
Tỷ lệ lãi EBIT,EBIT margin,23.9,22.61,17.83,17.42
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,25.99,26.95,20.8,20.4
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,19.13,18.0,14.21,13.9
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,13.41,12.38,9.75,10.14
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),16.75,15.55,12.23,12.71
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,11.48,10.85,8.63,8.97
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,6.02,2.18,-5.28,-19.26
Tăng trưởng  lợi nhuận gộp,Gross profit,4.96,22.17,2.0,14.62
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,12.05,29.72,-3.16,3.3
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,12.66,29.45,-3.2,4.81
Tăng trưởng tổng tài sản,Total assets,5.8,7.3,-1.44,2.84
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,12.95,40.67,-15.41,18.33
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.65,3.34,0.53,0.97
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.27,0.18,0.44,0.39
Tỷ số thanh toán nhanh,Quick ratio,2.34,2.69,2.83,2.4
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.66,1.35,2.39,1.07
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.57,2.94,3.2,2.74
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,942.32,0.0
