item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1885.85,2034.37,2197.49,2650.18
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14671.0,14489.0,13945.0,14398.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,14.48,15.48,16.75,14.41
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.86,2.17,2.64,2.65
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.68,6.82,7.77,8.75
Tỷ suất cổ tức,Dividend yield,0.04,0.03,0.1,0.07
Beta,Beta,1.03,1.41,1.57,1.53
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,53.06,46.05,44.4,58.87
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,22.52,25.99,27.42,25.6
Tỷ lệ lãi EBIT,EBIT margin,9.02,15.21,17.46,14.83
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,9.96,15.3,19.31,17.22
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,6.36,11.78,13.7,11.61
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.22,3.68,3.99,3.33
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.59,4.94,5.84,4.55
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.7,2.75,3.21,2.83
ROE bình quân 4 quý gần nhất,ROE Trailling,13.55,14.79,16.02,16.41
ROA bình quân 4 quý gần nhất,ROA Trailling,10.3,11.39,12.63,13.42
Tăng trưởng  doanh thu thuần,Net revenue,24.79,0.46,8.97,37.36
Tăng trưởng  lợi nhuận gộp,Gross profit,8.11,-6.77,6.24,28.57
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-23.8,-23.63,-6.5,13.24
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-31.49,-20.73,-9.25,12.27
Tăng trưởng tổng tài sản,Total assets,10.72,16.32,14.03,9.93
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,43.32,68.65,105.01,32.54
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.34,5.36,-0.81,7.07
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,150.0,150.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.22,0.2,0.25,0.42
Tỷ số thanh toán nhanh,Quick ratio,2.84,2.31,2.31,4.64
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.71,1.5,1.66,3.14
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.99,3.22,3.24,5.85
Khả năng thanh toán lãi vay,Interest coverage,25.17,37.49,85.77,70.51
