item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3206.31,3741.98,2639.32,1598.3
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13425.13,13205.3,16875.31,15859.29
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.34,11.09,10.15,24.46
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.47,3.14,1.59,2.47
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,17.63,13.52,6.89,12.51
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.64,1.7,1.78,1.91
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,50.93,71.86,58.06,51.2
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,6.29,41.43,30.39,22.8
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.89,10.17,7.22,4.6
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.21,2.46,1.74,1.15
ROE bình quân 4 quý gần nhất,ROE Trailling,21.93,24.59,16.82,10.59
ROA bình quân 4 quý gần nhất,ROA Trailling,5.24,6.05,4.11,2.67
Tăng trưởng  doanh thu thuần,Net revenue,32.12,116.44,111.27,43.55
Tăng trưởng  lợi nhuận gộp,Gross profit,6.71,185.98,215.91,10.64
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-63.35,423.83,761.45,6.59
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-56.78,413.44,741.35,6.67
Tăng trưởng tổng tài sản,Total assets,42.68,22.78,32.92,39.95
Tăng trưởng nợ dài hạn,Long-term liabilities,-9.12,-32.92,-91.38,-81.91
Tăng trưởng nợ phải trả,Liabilities,48.25,21.49,38.94,53.44
Tăng trưởng vốn chủ sở hữu,Owner's equity,26.74,26.91,16.73,9.92
Tăng trưởng vốn điều lệ,Charter capital,43.0,43.0,43.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.08,0.03,0.06,0.03
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.08,0.03,0.06,0.03
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.29,1.32,1.3,1.31
