item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,9449733594.0,9226686008.0,8380690109.0,8227485827.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,426188880.0,613052877.0,363518450.0,570452138.0
1. Tiền,1. Cash,411610019.0,599269183.0,359352562.0,382268254.0
2. Các khoản tương đương tiền,2. Cash equivalents,14578861.0,13783694.0,4165889.0,188183884.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,1845219903.0,1885909939.0,1681023000.0,1380278872.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,1845219903.0,1885909939.0,1681023000.0,1380278872.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,706754515.0,1037032615.0,535860600.0,576821528.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,269378825.0,194636370.0,213620098.0,203749558.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,171540954.0,545888576.0,173292338.0,234388111.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,265834737.0,296507669.0,148948164.0,138683859.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,6358114698.0,5586894551.0,5683788925.0,5607673930.0
1. Hàng tồn kho,1. Inventories,6358114698.0,5586894551.0,5683788925.0,5607673930.0
