item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1365218266.0,1432009216.0,1403123810.0,1422244637.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,21438112.0,51068880.0,23517073.0,52851715.0
1. Tiền,1. Cash,11438112.0,51068880.0,23517073.0,52851715.0
2. Các khoản tương đương tiền,2. Cash equivalents,10000000.0,,,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,232795000.0,214795000.0,204149000.0,248495032.0
1. Chứng khoán kinh doanh,1. Available for sale securities,104795000.0,104795000.0,94795000.0,94795000.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,128000000.0,110000000.0,109354000.0,153700032.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,694962576.0,773563091.0,773475425.0,776382287.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,279746077.0,326764738.0,293213041.0,251993652.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,52998468.0,81714363.0,67231443.0,104790548.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,393148290.0,391837528.0,439695871.0,477303701.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-30930259.0,-26753539.0,-26664929.0,-57705614.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,360375961.0,345751354.0,365030884.0,315080042.0
1. Hàng tồn kho,1. Inventories,368003685.0,356270668.0,372582037.0,320243529.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-7627725.0,-10519314.0,-7551152.0,-5163487.0
