item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1356187238.0,651267847.0,1187094650.0,1157446109.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,21505000.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1334682238.0,651267847.0,1187094650.0,1157446109.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1169390341.0,631279695.0,1032919834.0,1012652519.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,165291897.0,19988152.0,154174816.0,144793590.0
6.Doanh thu hoạt động tài chính ,6. Financial income,2085482.0,1191142.0,9997704.0,1484257.0
7. Chi phí tài chính ,7. Financial expenses,49275251.0,39047158.0,65984806.0,65805010.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,44676782.0,39027655.0,43129682.0,46774136.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,23758497.0,7554181.0,22671354.0,32020360.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,47392539.0,19782075.0,40703649.0,32901761.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,46951092.0,-45204119.0,34812711.0,15550717.0
12. Thu nhập khác ,12. Other income,2030243.0,57968.0,7286134.0,119259.0
13. Chi phí khác ,13.Other expenses,20136.0,50775352.0,90275.0,86262.0
14. Lợi nhuận khác,14. Other profit ,2010108.0,-50717384.0,7195859.0,32996.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,48961200.0,-95921503.0,42008570.0,15583713.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,,,,
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,48961200.0,-95921503.0,42008570.0,15583713.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,48961200.0,-95921503.0,42008570.0,15583713.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
