item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1705.23,1752.1,1801.21,2500.69
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14014.66,16254.12,20595.23,32910.87
Chỉ số giá thị trường trên thu nhập (P/E),P/E,20.53,16.04,13.71,8.4
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.5,1.73,1.2,0.64
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.84,1.18,0.82,0.41
Tỷ suất cổ tức,Dividend yield,0.01,0.01,0.02,0.02
Beta,Beta,-0.09,0.05,0.22,0.41
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,20.83,15.29,12.48,6.89
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,35.9,31.61,30.59,28.08
Tỷ lệ lãi EBIT,EBIT margin,10.67,8.12,7.32,6.78
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,14.75,12.22,11.08,10.85
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,8.15,6.11,5.13,4.87
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,11.62,9.29,7.73,7.83
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),12.14,12.24,10.98,10.82
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,6.96,6.63,5.45,5.27
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,2.82,8.18,-0.18,-0.7
Tăng trưởng  lợi nhuận gộp,Gross profit,16.77,11.79,8.75,3.04
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,37.36,28.6,4.57,1.59
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,37.17,28.86,5.02,1.3
Tăng trưởng tổng tài sản,Total assets,47.77,11.64,0.32,2.63
Tăng trưởng nợ dài hạn,Long-term liabilities,3838.89,169.75,-4.3,-21.16
Tăng trưởng nợ phải trả,Liabilities,134.6,20.95,-12.82,-4.63
Tăng trưởng vốn chủ sở hữu,Owner's equity,11.05,8.12,6.38,6.36
Tăng trưởng vốn điều lệ,Charter capital,29.21,37.0,36.0,25.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.21,0.17,0.16,0.22
Tỷ số thanh toán nhanh,Quick ratio,0.9,1.15,1.04,0.85
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.21,0.17,0.16,0.22
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.57,1.83,1.7,1.47
Khả năng thanh toán lãi vay,Interest coverage,22.96,16.78,8.19,10.49
