item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,643.12,871.65,1796.3,3605.49
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12268.42,12834.07,12960.25,30250.73
Chỉ số giá thị trường trên thu nhập (P/E),P/E,108.84,108.99,12.8,10.79
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,5.71,7.4,1.77,1.29
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.64,3.75,0.95,0.56
Tỷ suất cổ tức,Dividend yield,0.0,0.01,0.0,0.05
Beta,Beta,0.45,0.9,0.3,0.08
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,76.62,75.73,16.29,9.43
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,59.88,63.72,14.4,8.37
Tỷ suất lợi nhuận gộp biên,Gross profit margin,8.71,10.54,10.17,10.19
Tỷ lệ lãi EBIT,EBIT margin,3.6,5.21,6.52,7.48
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,4.6,6.19,7.38,8.43
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,2.46,3.6,4.45,5.39
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,4.95,6.76,9.12,12.27
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),7.33,9.05,12.14,16.52
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.78,3.81,5.14,7.03
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,15.13,4.35,8.81,14.17
Tăng trưởng  lợi nhuận gộp,Gross profit,-4.84,8.11,8.58,21.58
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-23.01,-13.7,-10.45,37.66
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-25.24,-15.62,-10.67,40.13
Tăng trưởng tổng tài sản,Total assets,0.09,4.79,25.09,18.74
Tăng trưởng nợ dài hạn,Long-term liabilities,-14.83,-41.87,62.88,1981.04
Tăng trưởng nợ phải trả,Liabilities,-6.07,12.76,14.98,38.5
Tăng trưởng vốn chủ sở hữu,Owner's equity,5.15,-0.97,33.59,6.04
Tăng trưởng vốn điều lệ,Charter capital,10.0,0.0,211.8,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.12,0.51,0.17
Tỷ số thanh toán nhanh,Quick ratio,0.53,0.52,1.06,0.98
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.32,0.23,0.64,0.26
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.22,1.2,1.69,1.8
Khả năng thanh toán lãi vay,Interest coverage,6.61,8.08,6.49,9.61
