item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,,158088412.0,165886101.0,198787025.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,,68327580.0,65688920.0,64798587.0
Các khoản dự phòng,(Reversal of provisions)/provisions,,-30819350.0,-36061660.0,7925253.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,-7779.0,29769.0,-5405.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,,-116715477.0,17750557.0,-87205811.0
Chi phí lãi vay,Interest expense,,47361630.0,117121433.0,254517281.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,,126235016.0,330415120.0,438816929.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,,-591350591.0,570469841.0,1054056485.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,,-844304986.0,-740982533.0,-2077529153.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",,896844495.0,2929366299.0,-1111780280.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,,-2970373.0,-17243168.0,39791524.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,,-36917249.0,-134481058.0,-260885747.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,,-63792280.0,-57936047.0,-257135449.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,,-13708486.0,-20384357.0,-31281312.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,,-529964456.0,2859224097.0,-2205947003.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",,-60772067.0,-23877750.0,-39738082.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,,23391427.0,2164351.0,2330252.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",,-1360528152.0,-115389052.0,-56911200.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",,514306553.0,78866605.0,2617364282.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,-1154549483.0,,-12599940.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,186964212.0,6532060.0,7812444.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",,129184055.0,17873061.0,66656886.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
