item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,5702.45,5284.97,5425.16,6011.76
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),48603.0,45972.0,45168.0,47789.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.47,11.47,11.47,11.28
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.23,1.32,1.38,1.42
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.71,3.98,4.23,5.02
Tỷ suất cổ tức,Dividend yield,0.04,0.04,0.04,0.04
Beta,Beta,0.22,0.35,0.29,0.08
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,17.46,57.73,53.02,39.3
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,27.78,13.69,16.68,20.48
Tỷ lệ lãi EBIT,EBIT margin,20.47,6.6,7.77,12.53
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,21.08,7.53,8.67,13.53
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,16.35,5.28,6.21,10.02
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,5.56,1.76,1.96,2.87
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),6.96,2.21,2.46,3.59
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.84,1.5,1.72,2.56
ROE bình quân 4 quý gần nhất,ROE Trailling,12.16,11.4,11.82,13.23
ROA bình quân 4 quý gần nhất,ROA Trailling,10.62,9.95,10.26,11.21
Tăng trưởng  doanh thu thuần,Net revenue,-2.02,18.04,10.53,11.92
Tăng trưởng  lợi nhuận gộp,Gross profit,10.6,-0.68,-20.16,-1.48
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,18.93,-14.84,-39.08,14.81
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,18.86,-14.85,-39.11,14.82
Tăng trưởng tổng tài sản,Total assets,4.15,2.09,-5.42,-3.23
Tăng trưởng nợ dài hạn,Long-term liabilities,26.52,22.5,22.46,29.8
Tăng trưởng nợ phải trả,Liabilities,0.2,-7.52,-37.73,-48.48
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.67,3.96,4.37,6.28
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.35,0.32,0.2,0.26
Tỷ số thanh toán nhanh,Quick ratio,5.48,4.43,3.61,5.75
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",2.65,2.16,1.53,2.21
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,7.86,6.02,5.31,8.78
Khả năng thanh toán lãi vay,Interest coverage,1234.29,0.0,0.0,0.0
