item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2226.62,2464.98,2635.38,2419.48
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13720.0,13002.0,12506.0,12685.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,22.81,18.34,13.89,20.67
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.7,3.48,2.93,3.94
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,33.15,36.84,24.55,43.17
Tỷ suất cổ tức,Dividend yield,0.02,0.05,0.06,0.04
Beta,Beta,0.61,0.68,0.42,0.56
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,57.66,74.2,52.34,95.19
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,28.95,30.81,23.79,67.38
Tỷ suất lợi nhuận gộp biên,Gross profit margin,48.46,52.58,57.98,56.04
Tỷ lệ lãi EBIT,EBIT margin,59.29,52.09,51.21,47.92
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,74.33,69.4,66.58,67.7
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,46.86,40.47,39.77,37.77
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,5.33,3.89,4.66,3.44
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),5.58,4.04,4.87,3.54
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.14,2.92,3.5,2.54
ROE bình quân 4 quý gần nhất,ROE Trailling,17.34,19.67,21.17,19.64
ROA bình quân 4 quý gần nhất,ROA Trailling,13.12,14.5,15.52,14.48
Tăng trưởng  doanh thu thuần,Net revenue,-14.55,-23.83,53.06,111.69
Tăng trưởng  lợi nhuận gộp,Gross profit,-30.71,-35.04,103.69,608.71
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-24.46,-25.39,60.46,208.29
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-25.09,-25.57,58.29,171.58
Tăng trưởng tổng tài sản,Total assets,-0.72,0.45,6.8,-0.08
Tăng trưởng nợ dài hạn,Long-term liabilities,-8.16,-5.18,-1.9,-4.54
Tăng trưởng nợ phải trả,Liabilities,-26.29,-6.51,14.04,-3.41
Tăng trưởng vốn chủ sở hữu,Owner's equity,9.99,2.68,4.36,0.93
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,1.54,1.53,0.08,1.01
Tỷ số thanh toán nhanh,Quick ratio,6.25,7.52,3.63,8.18
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",4.58,4.84,1.88,4.25
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,6.28,7.57,3.65,8.24
Khả năng thanh toán lãi vay,Interest coverage,38.65,26.93,29.47,21.99
