item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1049.99,494.1,463.21,361.14
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),45360.0,43825.0,43480.0,43132.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,20.57,42.5,47.49,52.33
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.48,0.48,0.51,0.44
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.1,1.29,1.18,1.28
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.06,0.11,0.22,0.15
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,43.95,61.87,50.17,82.69
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,38.61,15.75,14.74,39.88
Tỷ suất lợi nhuận gộp biên,Gross profit margin,14.81,19.03,15.22,17.69
Tỷ lệ lãi EBIT,EBIT margin,11.65,9.75,10.27,8.15
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,29.96,17.35,16.22,16.9
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.86,2.32,2.4,0.44
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.27,0.48,0.5,0.13
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.6,1.86,2.26,1.44
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.43,0.17,0.17,0.05
ROE bình quân 4 quý gần nhất,ROE Trailling,6.93,3.32,3.06,2.45
ROA bình quân 4 quý gần nhất,ROA Trailling,0.82,0.39,0.36,0.27
Tăng trưởng  doanh thu thuần,Net revenue,4.47,3.85,16.31,17.19
Tăng trưởng  lợi nhuận gộp,Gross profit,4.88,18.57,-2.72,11.26
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,202.47,-11.99,45.93,58.16
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,4897.17,24.93,111.74,1231.17
Tăng trưởng tổng tài sản,Total assets,8.73,3.7,1.35,-2.52
Tăng trưởng nợ dài hạn,Long-term liabilities,15.5,13.0,-0.54,-7.12
Tăng trưởng nợ phải trả,Liabilities,10.68,4.43,-3.09,-8.43
Tăng trưởng vốn chủ sở hữu,Owner's equity,5.02,2.35,11.08,10.71
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,18.56,18.56
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.27,0.18,0.32,0.17
Tỷ số thanh toán nhanh,Quick ratio,1.36,1.23,1.35,1.26
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.34,0.25,0.38,0.24
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.67,1.56,1.62,1.59
Khả năng thanh toán lãi vay,Interest coverage,2.3,1.55,1.53,1.11
