item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,12270836391.0,8172043403.0,6597764367.0,5429789416.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,12260582300.0,8165535290.0,6568700001.0,5401669850.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,510578822.0,1093162139.0,505275910.0,431936111.0
1.1. Tiền,1.1. Cash,510578822.0,943162139.0,505275910.0,431936111.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,,150000000.0,,
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),2085470808.0,167084605.0,298584682.0,575600703.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),3546750000.0,2774750000.0,2765500000.0,1902876744.0
4. Các khoản cho vay,4. Loans,5832191123.0,3881585476.0,2483068630.0,2280376720.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,-54118792.0,-42162233.0,-44556699.0,-39586100.0
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,310047816.0,279408951.0,550334911.0,125962559.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,9976.0,543380.0,345150124.0,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,310037840.0,278865571.0,205184787.0,125962559.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,310037840.0,278865571.0,205184787.0,125962559.0
Trả trước cho người bán,Prepayments to suppliers,17148648.0,5398019.0,2512504.0,123424423.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,7415147.0,1776883.0,1114284.0,999298.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,5224280.0,4619337.0,6928555.0,79390.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-125553.0,-87887.0,-62776.0,
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,10254091.0,6508113.0,29064366.0,28119567.0
1. Tạm ứng,1. Advances,3285603.0,1786933.0,23635074.0,26152801.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",69012.0,,,
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,6660603.0,4610308.0,5402292.0,1939765.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",238873.0,110873.0,27000.0,27000.0
8. Thuế GTGT còn được khấu trừ,8. Value Added Tax to be reclaimed,,,,
Thuế và các khoản khác phải thu của nhà nước,Taxes and other receivables from state authorities,,,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),Transaction buy backs governmental bond,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,6. Provision for other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS,2868390314.0,2465208715.0,848298328.0,979355432.0
I. Tài sản tài chính dài hạn,I. Long-term financial assets,2719736219.0,2328606423.0,729681709.0,920608889.0
1. Các khoản phải thu dài hạn,1. Long-term receivables,,,,
1.1. Phải thu dài hạn của khách hàng,1.1. Long-term trade receivables,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,1.2. Capital at inter-company,,,,
1.3.  Phải thu dài hạn nội bộ,1.3. Long-term inter-company receivables,,,,
1.4. Phải thu dài hạn khác,1.4. Other long-term receivables,,,,
1.5. Dự phòng phải thu dài hạn khó đòi,1.5. Provision for long-term doubtful debts,,,,
2. Các khoản đầu tư,2. Long-term investments,2719736219.0,2328606423.0,729681709.0,920608889.0
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,2.1. Held to maturity investments (HTM),2719736219.0,2328606423.0,729681709.0,920608889.0
2.2. Đầu tư vào công ty con,2.2. Investments in subsidiaries,,,,
"2.3 Đầu tư vào công ty liên kết, liên doanh","2.3. Investments in associates, joint-ventures",,,,
2.4 Đầu tư chứng khoán dài hạn,2.4. Long-term securities investments,,,,
- Chứng khoán sẵn sàng để bán, - Available-for-sale securities,,,,
- Chứng khoán nắm giữ đến ngày đáo hạn, - Held-to-maturity securities,,,,
2.5 Đầu tư dài hạn khác,2.5. Other long-term investments,,,,
2.6 Dự phòng giảm giá đầu tư dài hạn,2.6. Provision for diminution in value of long-term investments,,,,
II. Tài sản cố định,II. Fixed assets,105801085.0,96209664.0,84720318.0,41705860.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,12306667.0,11829030.0,12279283.0,6642641.0
 - Nguyên giá,    - Cost,28899990.0,23334857.0,19518942.0,11263782.0
- Giá trị hao mòn lũy kế,    - Accumulated depreciation,-16593323.0,-11505827.0,-7239659.0,-4621141.0
- Đánh giá TSCĐHH theo giá trị hợp lý,    - Evaluation tangible fixed assets accounting to fair value,,,,
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,68620068.0,44713527.0,19884751.0,
 - Nguyên giá,    - Cost,89933261.0,51823317.0,20991824.0,
- Giá trị hao mòn lũy kế,    - Accumulated depreciation,-21313193.0,-7109790.0,-1107073.0,
- Đánh giá TSCĐTTC theo giá trị hợp lý,    - Evaluation financial leased fixed assetss accounting to fair value,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,24874350.0,39667107.0,52556284.0,35063219.0
 - Nguyên giá,    - Cost,78603674.0,77273624.0,74754292.0,44737612.0
- Giá trị hao mòn lũy kế,    - Accumulated depreciation,-53729323.0,-37606516.0,-22198008.0,-9674393.0
- Đánh giá TSCĐVH theo giá trị hợp lý,    - Evaluation intangible fixed assets accounting to fair value,,,,
III. Bất động sản đầu tư,III. Investment property,,,,
- Nguyên giá,    - Cost,,,,
- Giá trị hao mòn lũy kế,    - Accumulated depreciation,,,,
- Đánh giá BĐSĐT theo giá trị hợp lý,    - Evaluation investment property accounting to fair value,,,,
IV. Chi phí xây dựng cơ bản dở dang,IV. Construction in progress,,512000.0,,
V. Tài sản dài hạn khác,V. Other long-term assets,42853010.0,39880628.0,33896301.0,17040683.0
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn","1. Pledged assets, mortgages, security deposits in long term",7786096.0,4570200.0,2926279.0,1981641.0
2. Chi phí trả trước dài hạn,2. Long-term prepayments,6089996.0,8697527.0,7166403.0,3960269.0
3. Tài sản thuế thu nhập hoãn lại,3. Deferred income tax assets,,,,
4. Tiền nộp Quỹ hỗ trợ thanh toán,4. Payment for Settlement Assistance Fund,18920576.0,16576642.0,13789036.0,11098773.0
5. Tài sản dài hạn khác,5. Other long-term assets,10056341.0,10036259.0,10014583.0,
6. Lợi thế thương mại,6. Goodwill,,,,
VI. Dự phòng suy giảm giá trị tài sản dài hạn,VI. Provision for long-term assets,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),TOTAL ASSETS,15139226705.0,10637252118.0,7446062695.0,6409144848.0
NGUỒN VỐN,LIABILITIES & OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ (300=310+340),A.  LIABILITIES,10836896894.0,6607451934.0,4140717286.0,3272783701.0
I. Nợ ngắn hạn,I. Short -term liabilities,9511869493.0,6589049715.0,4126428950.0,3272783521.0
1. Vay và nợ thuê tài chính ngắn hạn,1. Short-term borrowings,9321821230.0,6505929480.0,3643056054.0,2584842672.0
1.1. Vay ngắn hạn,1.1. Short-term borrowings,9302172219.0,6494297154.0,3643056054.0,2584842672.0
1.2 Nợ thuê tài sản tài chính ngắn hạn,1.2 Short-term financial lease liabilities,19649011.0,11632326.0,,
2. Vay tài sản tài chính ngắn hạn,2. Short-term financial assets borrowings,,,,
3. Trái phiếu chuyển đổi ngắn hạn,3. Short-term convertible bonds,,,,
4. Trái phiếu phát hành ngắn hạn,4. Short-term bonds,,,,150000000.0
5. Vay quỹ hỗ trợ thanh toán,5. Borrowings settlement Assistance fund,,,,
6. Phải trả hoạt động giao dịch chứng khoán,6. Payables to securities trading activities,21777353.0,7136074.0,3032653.0,1780836.0
7. Phải trả về lỗi giao dịch các tài sản tài chính,7. Payables to trading error of financial assets,,,,
8. Phải trả người bán ngắn hạn,8. Trade accounts payable,3980780.0,1797068.0,531808.0,359089.0
9. Người mua trả tiền trước ngắn hạn,9. Advances from customers,,,,160000.0
10. Thuế và các khoản phải nộp Nhà nước,10. Taxes and other payables to state authorities,34318412.0,25652481.0,30277977.0,16235901.0
11. Phải trả người lao động,11. Payable to employees,39201897.0,18553360.0,16149415.0,6651489.0
12. Các khoản trích nộp phúc lợi nhân viên,12. Employee welfare payables,1681084.0,1053140.0,526340.0,263170.0
13. Chi phí phải trả ngắn hạn,13. Accrued expenses,88396621.0,24101558.0,17582969.0,7804079.0
14. Phải trả nội bộ ngắn hạn,14. Inter-company payables,,,,
15. Doanh thu chưa thực hiện ngắn hạn,15. Unearned revenue,,,,
"16. Nhận ký quỹ, ký cược ngắn hạn","16. Short-term deposits, collateral received",,,,
"17. Các khoản phải trả, phải nộp khác ngắn hạn",17. Other payables,691898.0,4826335.0,415271515.0,504686066.0
"Phải trả hộ cổ tức, gốc và lãi trái phiếu","Payables for dividends, principal and interests on behalf of others",,,,
Phải trả tổ chức phát hành chứng khoán,Payables to securities issuing organizations,,,,
18. Dự phòng phải trả ngắn hạn,18. Provision for short-term liabilities,,,,
Giao dịch mua bán lại trái phiếu chính phủ,Payables for government bond trading activities,,,,
19. Quỹ khen thưởng phúc lợi,19. Bonus and welfare fund,218.0,218.0,218.0,218.0
II. Nợ dài hạn,II. Long-term liabilities,1325027401.0,18402219.0,14288336.0,180.0
1. Vay và nợ thuê tài chính dài hạn,1. Long-term borrowings,27044364.0,18342547.0,14227038.0,
1.1. Vay dài hạn,11. Long-term borrowings,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,1.2 Long-term financial lease liabilities,27044364.0,18342547.0,14227038.0,
2. Vay tài sản tài chính dài hạn,2. Long-term financial lease borrowings,,,,
3. Trái phiếu chuyển đổi dài hạn,3. Long-term convertible bonds,,,,
4. Trái phiếu phát hành dài hạn,4. Long-term bonds,1297852794.0,,,
5. Phải trả người bán dài hạn,5. Long-term trade payables,,,,
6. Người mua trả tiền trước dài hạn,6. Advances from customers,,,,
7. Chi phí phải trả dài hạn,7. Accrued expenses,,,,
8. Phải trả nội bộ dài hạn,8. Long-term inter-company payables,,,,
9. Doanh thu chưa thực hiện dài hạn,9. Unearned revenue,,,,
"10. Nhận ký quỹ, ký cược dài hạn","10. Long-term deposits, collateral received",,,,
"11. Phải trả, phải nộp khác dài hạn",11. Other long-term liabilities,,,,
Vốn nhận ủy thác đầu tư dài hạn,Funds received from trust investors,,,,
Dự phòng trợ cấp mất việc làm,Provision for severance allowances,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,13. Provision for investor's damage claims,,,,
14. Thuế thu nhập hoãn lại phải trả,14. Deferred income tax liabilities,130244.0,59672.0,61298.0,180.0
15. Quỹ phát triển khoa học và công nghệ,15. Fund for technology development,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),B. OWNER'S EQUITY (400=410+420),4302329811.0,4029800184.0,3305345409.0,3136361147.0
I. Vốn chủ sở hữu,I. Owner's equity,4302329811.0,4029800184.0,3305345409.0,3136361147.0
1. Vốn đầu tư của chủ sở hữu,1. Investment capital from owners,3872725725.0,3300000000.0,3000041575.0,3000041575.0
1.1. Vốn góp của chủ sở hữu,1.1. Capital from owners,3426000000.0,3300000000.0,3000000000.0,3000000000.0
a. Cổ phiếu phổ thông,a. Common stock,3426000000.0,3300000000.0,3000000000.0,3000000000.0
b. Cổ phiếu ưu đãi,b. Preferred stock,,,,
1.2. Thặng dư vốn cổ phần,1.2. Share premium,446725725.0,,41575.0,41575.0
1.3. Quyền chọn chuyển đổi trái phiếu,1.3 Conversion options on convertible bonds,,,,
1.4. Vốn khác của chủ sở hữu,1.4. Other capital of Owners,,,,
1.5. Cổ phiếu quỹ,1.5. Treasury shares,,,,
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,2. Assets revaluation differences,,572725725.0,,
3. Chênh lệch tỷ giá hối đoái,3. Foreign exchange differences,,,,
4. Quỹ dự trữ điều lệ,4. Supplementary capital reserve,2598930.0,2598930.0,2598930.0,2598930.0
Quỹ đầu tư phát triển,Investment and development fund,,,,
