item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,-466.84,-174.86,19.65,-350.47
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),7323.31,7790.15,7965.01,7945.36
Chỉ số giá thị trường trên thu nhập (P/E),P/E,-28.92,-86.36,1027.89,-36.81
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.84,1.94,2.54,1.62
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,9.34,9.23,11.3,6.91
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.4,0.07,0.22,0.16
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-28.81,-86.51,714.33,-38.76
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,-43.77,-20.17,-10.64,-18.35
Tỷ lệ lãi EBIT,EBIT margin,-32.29,-10.4,1.57,-18.69
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,-19.6,1.8,14.17,-4.56
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-32.29,-10.69,1.1,-18.77
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-6.18,-2.22,0.25,-4.32
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),-6.16,-2.15,0.35,-4.29
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-5.81,-2.09,0.22,-3.93
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-11.6,-8.55,-4.25,296.56
Tăng trưởng  lợi nhuận gộp,Gross profit,-291.82,-273.44,-155.49,-136.01
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-366.98,-989.78,-94.39,-145.89
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-366.98,-989.78,-94.39,-145.89
Tăng trưởng tổng tài sản,Total assets,-5.95,-1.6,-7.58,4.34
Tăng trưởng nợ dài hạn,Long-term liabilities,0.77,0.34,-0.3,18.77
Tăng trưởng nợ phải trả,Liabilities,-5.23,8.92,-61.07,168.12
Tăng trưởng vốn chủ sở hữu,Owner's equity,-5.99,-2.2,0.25,-4.22
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.82,0.43,0.04
Tỷ số thanh toán nhanh,Quick ratio,9.65,7.12,11.36,4.81
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",5.2,3.92,8.79,3.86
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,9.69,7.16,11.4,4.83
Khả năng thanh toán lãi vay,Interest coverage,-5270.97,-35.95,3.35,-244.47
