item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,168114859.0,149677443.0,287971503.0,219022909.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,6019.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,168108840.0,149677443.0,287971503.0,219022909.0
4. Giá vốn hàng bán ,4. Cost of goods sold,67628411.0,102753282.0,94355970.0,92276283.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,100480429.0,46924161.0,193615533.0,126746626.0
6.Doanh thu hoạt động tài chính ,6. Financial income,10571238.0,7243556.0,7769635.0,5154055.0
7. Chi phí tài chính ,7. Financial expenses,2142097.0,770935.0,470962.0,1470003.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,,770935.0,,1470003.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,1829451.0,2203736.0,1778631.0,1169220.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,8179188.0,6287942.0,4961275.0,3544209.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,98900931.0,44905105.0,194174301.0,125717249.0
12. Thu nhập khác ,12. Other income,80000.0,,6.0,271465.0
13. Chi phí khác ,13.Other expenses,14485.0,34868.0,332921.0,1145.0
14. Lợi nhuận khác,14. Other profit ,65515.0,-34868.0,-332915.0,270320.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,98966445.0,44870236.0,193841385.0,125987569.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,19349123.0,9928694.0,40795002.0,25616996.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-225770.0,,-655034.0,-308783.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,79843092.0,34941543.0,153701417.0,100679356.0
Lợi ích của cổ đông thiểu số,Minority's interest,25638462.0,7279107.0,51861935.0,32504319.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,54204631.0,27662435.0,101839481.0,68175037.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),895.0,457.0,1771.0,1186.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,1.0,0.0,2.0,1.0
