item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,958.06,1117.33,1132.49,1049.05
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12842.0,12722.0,12726.0,12854.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,12.53,11.01,10.6,12.87
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.93,0.97,0.94,1.05
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.0,3.4,2.14,2.48
Tỷ suất cổ tức,Dividend yield,0.04,0.04,0.04,0.03
Beta,Beta,0.27,0.28,0.36,0.44
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,89.79,369.37,27.84,39.09
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,8.16,8.65,6.71,20.52
Tỷ suất lợi nhuận gộp biên,Gross profit margin,6.4,3.56,13.17,10.1
Tỷ lệ lãi EBIT,EBIT margin,4.34,1.18,10.42,8.61
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,16.82,12.12,17.97,16.4
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,3.01,-0.12,8.43,6.78
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.96,-0.04,3.69,2.9
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),1.17,0.29,4.04,3.3
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.57,-0.02,2.09,1.62
ROE bình quân 4 quý gần nhất,ROE Trailling,7.51,8.82,9.03,8.45
ROA bình quân 4 quý gần nhất,ROA Trailling,4.33,5.04,5.03,4.57
Tăng trưởng  doanh thu thuần,Net revenue,-23.0,4.03,2.9,16.52
Tăng trưởng  lợi nhuận gộp,Gross profit,-49.83,73.31,11.52,-4.59
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-57.38,0.0,20.29,10.06
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-56.45,0.0,21.44,10.53
Tăng trưởng tổng tài sản,Total assets,-1.35,-6.24,-7.28,-5.75
Tăng trưởng nợ dài hạn,Long-term liabilities,48.26,13.3,-24.3,-37.23
Tăng trưởng nợ phải trả,Liabilities,-6.45,-19.09,-19.13,-16.67
Tăng trưởng vốn chủ sở hữu,Owner's equity,2.85,4.27,4.4,4.76
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.07,0.05,0.03
Tỷ số thanh toán nhanh,Quick ratio,0.9,0.97,0.97,0.94
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.29,0.4,0.31,0.1
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.02,1.06,1.05,1.01
Khả năng thanh toán lãi vay,Interest coverage,3.98,0.8,9.1,6.96
