item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5690908186.0,5529361266.0,5609381374.0,5584968754.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,28987126.0,7559821.0,26161957.0,44383940.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,5661921061.0,5521801445.0,5583219417.0,5540584814.0
4. Giá vốn hàng bán ,4. Cost of goods sold,5108082179.0,4929091343.0,4985381241.0,4996581338.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,553838882.0,592710102.0,597838176.0,544003476.0
6.Doanh thu hoạt động tài chính ,6. Financial income,262763571.0,258183825.0,283935508.0,130152999.0
7. Chi phí tài chính ,7. Financial expenses,120417311.0,103707005.0,151669292.0,202368533.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,67329431.0,53512208.0,73591521.0,63969314.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,386113911.0,158812167.0,104041439.0,82304184.0
9. Chi phí bán hàng ,9. Selling expenses,281352855.0,273971996.0,263496627.0,286645337.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,131593283.0,148968625.0,143360343.0,135695686.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,669352915.0,483058469.0,427288862.0,131751102.0
12. Thu nhập khác ,12. Other income,43514682.0,32233029.0,1067602.0,966773.0
13. Chi phí khác ,13.Other expenses,7171290.0,6059591.0,3326520.0,813859.0
14. Lợi nhuận khác,14. Other profit ,36343392.0,26173438.0,-2258919.0,152914.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,705696307.0,509231907.0,425029943.0,131904016.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,32666928.0,37257614.0,38638244.0,21531409.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),2087088.0,3879166.0,-3879166.0,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,670942291.0,468095127.0,390270865.0,110372607.0
Lợi ích của cổ đông thiểu số,Minority's interest,51995054.0,47280423.0,44271001.0,26250277.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,618947237.0,420814704.0,345999864.0,84122330.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),2566.0,1729.0,1391.0,322.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,3.0,2.0,1.0,0.0
