item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2605.57,1392.83,1339.95,1796.63
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),16505.0,15080.0,14682.0,15159.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,8.17,15.51,17.54,14.58
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.29,1.43,1.6,1.73
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.98,3.86,3.98,5.0
Tỷ suất cổ tức,Dividend yield,0.05,0.05,0.03,0.03
Beta,Beta,1.01,1.16,1.16,1.13
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,18.81,50.74,41.31,69.69
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,18.47,49.46,39.42,65.34
Tỷ suất lợi nhuận gộp biên,Gross profit margin,8.67,9.49,9.69,11.14
Tỷ lệ lãi EBIT,EBIT margin,21.41,9.41,12.39,8.89
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,21.69,9.93,12.86,9.48
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,20.12,6.95,10.76,6.91
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,8.86,2.06,3.98,2.05
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),9.59,3.51,4.86,3.12
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.63,1.06,2.08,1.11
ROE bình quân 4 quý gần nhất,ROE Trailling,18.37,10.15,9.87,13.37
ROA bình quân 4 quý gần nhất,ROA Trailling,8.87,4.95,4.88,6.7
Tăng trưởng  doanh thu thuần,Net revenue,7.17,8.79,-8.8,4.02
Tăng trưởng  lợi nhuận gộp,Gross profit,-16.82,-2.49,-13.26,-10.25
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,397.91,17.01,-41.12,-9.87
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,651.35,20.88,-43.46,-9.95
Tăng trưởng tổng tài sản,Total assets,18.62,10.38,9.81,10.6
Tăng trưởng nợ dài hạn,Long-term liabilities,-1.28,-49.12,-45.86,-49.13
Tăng trưởng nợ phải trả,Liabilities,23.65,15.62,14.32,9.91
Tăng trưởng vốn chủ sở hữu,Owner's equity,14.35,6.05,5.67,11.19
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.01,0.17,0.03,0.02
Tỷ số thanh toán nhanh,Quick ratio,0.76,0.92,0.95,0.99
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.21,0.37,0.25,0.34
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.32,1.5,1.45,1.53
Khả năng thanh toán lãi vay,Interest coverage,18.34,7.43,10.94,7.4
