item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,710173172.0,730245649.0,453153078.0,767817700.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,67034199.0,58297921.0,81825108.0,85661079.0
Các khoản dự phòng,(Reversal of provisions)/provisions,159499778.0,65590123.0,21568940.0,304824533.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,548679.0,189782.0,-168273.0,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-149782302.0,-8824747.0,-295137627.0,-418310644.0
Chi phí lãi vay,Interest expense,292046287.0,420300072.0,548921049.0,485966326.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,1079519813.0,1265798800.0,810162276.0,1225958994.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-2076758729.0,-981837954.0,192470743.0,-1183998876.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-1016972651.0,710262980.0,-669535802.0,-2995789503.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",5298817653.0,-1728929303.0,-589070047.0,305775551.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-1144980934.0,152113413.0,145513984.0,-190804342.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-347665528.0,-382916475.0,-542665295.0,-519732901.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-375283529.0,-412793568.0,-183690068.0,-485103268.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-14729202.0,-10356179.0,-13168182.0,-60320031.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,1401946892.0,-1388658285.0,-849982392.0,-3904014376.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-98241093.0,-70352919.0,-129280999.0,-148250142.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,5850139.0,7999179.0,19794297.0,5888226.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-1926131268.0,-176732025.0,-1274629318.0,-895469998.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",700771273.0,703929542.0,860882641.0,725355606.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,-1457246872.0,-732120864.0,-17406708.0,-216065377.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,1593075485.0,68272500.0,780284845.0,697520171.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",127413039.0,84926211.0,28784985.0,68159152.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,-1054509298.0,-114078376.0,268429742.0,237137638.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,3677907051.0,1225924088.0,28990500.0,416885665.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,4826842453.0,4051764956.0,3299733557.0,7351034067.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,-6610127072.0,-2791589645.0,-3314068302.0,-5582160671.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",-99570200.0,-10352029.0,-76013361.0,-337580292.0
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,1795052232.0,2475747369.0,-61357606.0,1848178769.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,2142489826.0,973010708.0,-642910255.0,-1818697969.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,1249079279.0,276068571.0,918978826.0,2737676796.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,,,
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,3391569105.0,1249079279.0,276068571.0,918978826.0
