item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,246.6,360.43,281.93,354.68
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),18754.42,21093.67,23255.14,23088.86
Chỉ số giá thị trường trên thu nhập (P/E),P/E,69.34,43.31,68.64,35.95
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.91,0.74,0.83,0.55
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.57,2.34,3.17,1.41
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.38,1.75,2.29,1.96
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,27.0,18.5,21.82,14.2
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,25.31,17.61,20.16,13.28
Tỷ suất lợi nhuận gộp biên,Gross profit margin,58.02,48.08,45.92,53.89
Tỷ lệ lãi EBIT,EBIT margin,24.07,23.99,26.57,22.32
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,25.68,25.21,28.77,23.87
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,13.79,9.46,4.03,9.68
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.27,1.74,1.22,1.56
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),4.73,6.41,5.62,7.44
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.68,0.88,0.58,0.73
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-13.16,28.74,-32.42,-45.37
Tăng trưởng  lợi nhuận gộp,Gross profit,4.79,34.8,-42.41,-46.94
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-2.75,61.15,-40.98,-69.48
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-10.64,48.81,-19.96,-81.43
Tăng trưởng tổng tài sản,Total assets,30.56,1.38,-5.06,7.31
Tăng trưởng nợ dài hạn,Long-term liabilities,-21.46,17.85,-25.08,146.35
Tăng trưởng nợ phải trả,Liabilities,23.31,-4.24,-10.07,9.17
Tăng trưởng vốn chủ sở hữu,Owner's equity,37.23,7.16,0.72,5.26
Tăng trưởng vốn điều lệ,Charter capital,54.22,18.09,0.0,2.34
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.23,0.12,0.02,0.07
Tỷ số thanh toán nhanh,Quick ratio,1.27,1.22,1.04,1.09
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.26,0.13,0.03,0.09
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.35,2.5,2.26,2.23
Khả năng thanh toán lãi vay,Interest coverage,3.43,2.74,1.84,2.66
