item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,362.81,194.67,163.07,210.17
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13517.0,13237.0,13167.0,13120.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,22.63,49.26,37.59,30.31
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.61,0.72,0.47,0.49
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.25,11.02,6.74,7.15
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.41,1.48,1.72,2.14
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,30.98,164.42,147.6,159.8
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,30.59,159.05,145.02,159.18
Tỷ suất lợi nhuận gộp biên,Gross profit margin,20.34,9.08,6.02,3.89
Tỷ lệ lãi EBIT,EBIT margin,17.28,11.86,8.42,8.56
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,17.38,12.13,8.48,8.59
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,11.09,8.53,5.77,5.98
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.45,0.53,0.37,0.39
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.58,0.59,0.42,0.42
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.67,0.26,0.2,0.22
ROE bình quân 4 quý gần nhất,ROE Trailling,3.4,1.83,1.53,1.97
ROA bình quân 4 quý gần nhất,ROA Trailling,1.36,0.78,0.7,0.97
Tăng trưởng  doanh thu thuần,Net revenue,136.67,-43.64,-59.76,33.71
Tăng trưởng  lợi nhuận gộp,Gross profit,1184.58,30.74,-57.94,-20.86
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,905.83,75.0,-50.51,90.55
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,658.43,82.84,-49.05,72.13
Tăng trưởng tổng tài sản,Total assets,30.28,33.72,31.58,33.0
Tăng trưởng nợ dài hạn,Long-term liabilities,-17.0,-12.04,42.1,111.81
Tăng trưởng nợ phải trả,Liabilities,69.81,92.73,74.15,89.97
Tăng trưởng vốn chủ sở hữu,Owner's equity,1.94,0.03,6.56,7.0
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.2,0.18,0.42,0.45
Tỷ số thanh toán nhanh,Quick ratio,0.93,1.17,1.76,2.35
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.21,0.19,0.49,0.81
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.17,2.18,3.03,3.82
Khả năng thanh toán lãi vay,Interest coverage,5.11,10.73,8.22,8.52
