item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,8204118169.0,7507225968.0,7421318403.0,6411398412.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,767059133.0,509926854.0,661971871.0,278994796.0
1. Tiền,1. Cash,554041677.0,370679341.0,434297410.0,185224094.0
2. Các khoản tương đương tiền,2. Cash equivalents,213017456.0,139247513.0,227674461.0,93770703.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,25993590.0,25673590.0,25299899.0,28219899.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,25993590.0,25673590.0,25299899.0,28219899.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,3797710032.0,4780786243.0,4660577034.0,4056053701.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,2303556370.0,2402515943.0,2263795193.0,1972101684.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,886598974.0,896471213.0,964125424.0,845650382.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,19860624.0,152934060.0,129434060.0,9084060.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,595912632.0,1331717618.0,1306074948.0,1232070165.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-9465968.0,-4099990.0,-4099990.0,-4099990.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,1247399.0,1247399.0,1247399.0,1247399.0
IV. Hàng tồn kho,IV. Inventories,3486923509.0,2017365745.0,1914241639.0,1900116226.0
1. Hàng tồn kho,1. Inventories,3486923509.0,2017365745.0,1914241639.0,1900116226.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,126431906.0,173473536.0,159227960.0,148013791.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,37767110.0,97154416.0,85158134.0,74714937.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,64857790.0,56812355.0,53291543.0,52971416.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,23807006.0,19506765.0,20778283.0,20327438.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1983322302.0,3687210974.0,3581264842.0,3493116428.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,83402329.0,57711949.0,46957425.0,112545961.0
