item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,318042831.0,248898840.0,344302001.0,283716371.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,1773343.0,1940586.0,2452595.0,2563715.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,316269489.0,246958254.0,341849406.0,281152656.0
4. Giá vốn hàng bán ,4. Cost of goods sold,289859458.0,199824750.0,276373556.0,234766716.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,26410030.0,47133504.0,65475850.0,46385940.0
6.Doanh thu hoạt động tài chính ,6. Financial income,15407988.0,1326430.0,7324877.0,1155381.0
7. Chi phí tài chính ,7. Financial expenses,8833340.0,8341822.0,8339673.0,7936251.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,9889709.0,7827052.0,8162803.0,7927363.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,19880192.0,26822999.0,26590370.0,9984784.0
9. Chi phí bán hàng ,9. Selling expenses,4583547.0,5135489.0,6388113.0,4951867.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,49391124.0,23959757.0,26616280.0,28371497.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-1109800.0,37845866.0,58047031.0,16266490.0
12. Thu nhập khác ,12. Other income,42978791.0,7862122.0,17814346.0,7035785.0
13. Chi phí khác ,13.Other expenses,14211124.0,8038843.0,11707666.0,7243371.0
14. Lợi nhuận khác,14. Other profit ,28767666.0,-176721.0,6106679.0,-207586.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,27657866.0,37669145.0,64153710.0,16058904.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,2358991.0,2258815.0,4771342.0,3523568.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),784212.0,546996.0,445574.0,427643.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,24514663.0,34863334.0,58936793.0,12107693.0
Lợi ích của cổ đông thiểu số,Minority's interest,4862236.0,-1699817.0,6729722.0,2022038.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,19652427.0,36563151.0,52207071.0,10085655.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),155.0,288.0,411.0,79.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
