item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,5592.49,4675.11,4221.93,4725.93
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),40450.79,37711.35,34166.98,32361.18
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.29,10.05,10.66,6.81
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.87,1.25,1.32,1.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.28,0.44,0.58,0.37
Tỷ suất cổ tức,Dividend yield,0.06,0.04,0.04,0.06
Beta,Beta,0.58,0.62,0.98,0.97
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,5.77,5.82,9.08,5.28
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,9.81,10.87,9.69,10.97
Tỷ lệ lãi EBIT,EBIT margin,5.65,6.44,6.54,6.06
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,7.86,9.1,9.57,7.63
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,5.09,6.11,5.94,5.63
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,14.31,13.01,12.69,15.1
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),18.02,18.85,15.23,16.81
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,8.46,8.57,8.7,10.86
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,18.41,35.88,-10.77,9.66
Tăng trưởng  lợi nhuận gộp,Gross profit,6.86,52.49,-21.2,18.19
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-2.47,38.48,-7.25,13.65
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,19.62,10.73,-10.66,15.72
Tăng trưởng tổng tài sản,Total assets,28.94,12.48,12.29,10.71
Tăng trưởng nợ dài hạn,Long-term liabilities,-4.49,13.79,1.28,2.6
Tăng trưởng nợ phải trả,Liabilities,69.77,16.66,28.56,20.71
Tăng trưởng vốn chủ sở hữu,Owner's equity,7.26,10.37,5.58,7.05
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.52,0.83,0.41,0.68
Tỷ số thanh toán nhanh,Quick ratio,1.32,1.26,1.01,1.1
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.0,0.94,0.49,0.69
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.72,2.04,1.91,2.18
Khả năng thanh toán lãi vay,Interest coverage,9.05,19.19,11.8,20.03
