item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,1219117503.0,526957088.0,-294181683.0,485623414.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,402557018.0,318442950.0,233071989.0,115286135.0
Các khoản dự phòng,(Reversal of provisions)/provisions,32011000.0,17863961.0,2521192.0,-4485566.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-20361.0,-158409.0,-74513.0,-42533.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-267669594.0,-70652632.0,-50019831.0,-147853905.0
Chi phí lãi vay,Interest expense,388595922.0,253428831.0,284917374.0,231527905.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,1774591488.0,1045881789.0,176234527.0,680055450.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-289450397.0,136390771.0,27356978.0,-93023121.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-1721131355.0,-1821393827.0,-1944517235.0,-1549588422.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",3490143010.0,1535573067.0,175960974.0,36245883.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,1680342.0,4499571.0,12732186.0,-226194255.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-393209708.0,-224960303.0,-301416255.0,-218989647.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-115299253.0,-38914312.0,-111048.0,-135411037.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,,-10000000.0,-3344000.0,-787133.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,2747324127.0,627076755.0,-1857103873.0,-1507692281.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-534361132.0,-489745872.0,-705276095.0,-518166902.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,10150.0,22192.0,38832.0,239048.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-9601000000.0,-2206000000.0,-2551000000.0,-6940000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",4658000000.0,2414000000.0,2516000000.0,9161500000.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,-2461794.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",213448572.0,102089455.0,68561152.0,158973736.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
