item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,14959486967.0,13147235159.0,11425724006.0,11699603508.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,46725401.0,37318398.0,35379343.0,29758054.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,14912761566.0,13109916761.0,11390344663.0,11669845454.0
4. Giá vốn hàng bán ,4. Cost of goods sold,12038093551.0,10570480925.0,9119245339.0,9345344171.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,2874668016.0,2539435836.0,2271099324.0,2324501283.0
6.Doanh thu hoạt động tài chính ,6. Financial income,104529806.0,83164890.0,62203017.0,37867029.0
7. Chi phí tài chính ,7. Financial expenses,106489869.0,99878828.0,93661544.0,88652947.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,106473793.0,99878724.0,93659853.0,88583551.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,1979890023.0,1789875275.0,1660264728.0,1588176219.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,475036963.0,410557488.0,373675482.0,418474687.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,417780966.0,322289134.0,205700587.0,267064459.0
12. Thu nhập khác ,12. Other income,6564285.0,7226888.0,8659770.0,7461750.0
13. Chi phí khác ,13.Other expenses,9330101.0,4590414.0,7695042.0,2014779.0
14. Lợi nhuận khác,14. Other profit ,-2765816.0,2636474.0,964727.0,5446971.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,415015150.0,324925608.0,206665314.0,272511431.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,66678882.0,59045185.0,49425884.0,59727825.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,348336269.0,265880423.0,157239430.0,212783606.0
Lợi ích của cổ đông thiểu số,Minority's interest,58825178.0,47146986.0,38581784.0,44820836.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,289511091.0,218733437.0,118657646.0,167962769.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1700.0,1284.0,871.0,1233.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
