item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,257.21,313.03,213.06,310.44
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),10826.0,11161.0,10984.0,10959.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,40.43,34.18,41.3,20.94
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.96,0.96,0.8,0.59
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.44,2.9,1.46,3.56
Tỷ suất cổ tức,Dividend yield,0.04,0.0,0.0,0.0
Beta,Beta,1.56,1.61,1.59,1.95
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,817.47,63.6,44.32,38.98
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,42.66,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,6.09,12.76,7.21,23.4
Tỷ lệ lãi EBIT,EBIT margin,0.3,7.72,5.5,16.81
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,1.67,10.37,7.11,22.18
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-1.96,4.69,0.85,9.58
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-1.29,1.57,0.47,1.62
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),0.11,1.42,1.63,1.52
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-0.36,0.44,0.12,0.41
ROE bình quân 4 quý gần nhất,ROE Trailling,2.38,2.85,1.95,2.86
ROA bình quân 4 quý gần nhất,ROA Trailling,0.64,0.76,0.5,0.72
Tăng trưởng  doanh thu thuần,Net revenue,34.19,-1.13,86.66,8.14
Tăng trưởng  lợi nhuận gộp,Gross profit,87.25,73.66,2.01,13.39
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,142.3,-27.02,20.44
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,137.07,-65.5,28.99
Tăng trưởng tổng tài sản,Total assets,-7.26,-9.36,-7.02,2.65
Tăng trưởng nợ dài hạn,Long-term liabilities,13.83,-4.72,-5.21,-10.91
Tăng trưởng nợ phải trả,Liabilities,-9.85,-13.47,-9.95,2.63
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.37,2.66,1.6,2.62
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.07,0.09,0.11
Tỷ số thanh toán nhanh,Quick ratio,0.66,0.56,0.55,0.51
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.18,0.12,0.13,0.15
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.12,1.09,1.01,1.04
Khả năng thanh toán lãi vay,Interest coverage,0.14,2.73,1.51,2.37
