item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,544097999.0,532154955.0,469088630.0,473717044.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,77965444.0,42241582.0,10303818.0,51113728.0
1. Tiền,1. Cash,77965444.0,42241582.0,10303818.0,36113728.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,,15000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,107206355.0,40907896.0,20907896.0,35808038.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,107206355.0,40907896.0,20907896.0,35808038.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,235512399.0,332100081.0,324283108.0,283501006.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,126396218.0,131326830.0,153294191.0,120111366.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,127746316.0,137878959.0,130962152.0,170604287.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,60000000.0,65000000.0,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,11846398.0,32802127.0,18746104.0,28737411.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-30476534.0,-29907835.0,-43719340.0,-35952058.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,105811951.0,101415386.0,99799524.0,90738676.0
1. Hàng tồn kho,1. Inventories,105811951.0,101415386.0,99799524.0,90738676.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,17601850.0,15490011.0,13794284.0,12555596.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,2664078.0,3129795.0,2339240.0,1882426.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,14819860.0,12242303.0,11337131.0,10147695.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,117912.0,117912.0,117912.0,525475.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,293851876.0,294596762.0,292800282.0,272317394.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,749689.0,1233697.0,1377500.0,2710623.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,749689.0,1233697.0,1377500.0,2710623.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,240284257.0,241139233.0,241112209.0,232757151.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,105082065.0,105556675.0,105257786.0,96527614.0
      - Nguyên giá,    - Cost,204674571.0,201206577.0,201424412.0,187494888.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-99592506.0,-95649901.0,-96166626.0,-90967274.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,135202193.0,135582558.0,135854423.0,136229538.0
      - Nguyên giá,    - Cost,141844729.0,141844729.0,142146729.0,142146729.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-6642536.0,-6262171.0,-6292306.0,-5917191.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,24856211.0,24516180.0,24450096.0,10179454.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,24856211.0,24516180.0,24450096.0,10179454.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,11205606.0,11205606.0,11205606.0,11205606.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",10103106.0,10103106.0,10103106.0,10103106.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,1102500.0,1102500.0,1102500.0,1102500.0
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,16756113.0,16502046.0,14654872.0,15464560.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,16756113.0,16249744.0,14654872.0,15464560.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,252302.0,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,837949874.0,826751718.0,761888913.0,746034439.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,143254085.0,141968623.0,319423913.0,279911155.0
I. Nợ ngắn hạn,I. Short -term liabilities,122963259.0,123025384.0,301171708.0,261973158.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,15922722.0,20060192.0,26287312.0,20351389.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,588098.0,606861.0,269738.0,271055.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,10009466.0,10713125.0,11952513.0,7926301.0
4. Phải trả người lao động,4. Payable to employees,1149942.0,8426451.0,9632138.0,8428492.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,19770608.0,14422711.0,17946863.0,14186403.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
