item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,39391822023.0,31982773615.0,26574958455.0,25588182776.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,8659539323.0,4682232721.0,3817208125.0,4254129737.0
1. Tiền,1. Cash,3297710075.0,2811927483.0,2887208258.0,2045139663.0
2. Các khoản tương đương tiền,2. Cash equivalents,5361829249.0,1870305238.0,929999866.0,2208990073.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,9968570691.0,7877899035.0,6988528392.0,5958545155.0
1. Chứng khoán kinh doanh,1. Available for sale securities,7224526301.0,6608005522.0,5012257656.0,4813501501.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-137184568.0,-52951142.0,-21496760.0,-41162971.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,2881228958.0,1322844654.0,1997767496.0,1186206625.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,4971844909.0,8227022234.0,4424670001.0,4795667869.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,2374023937.0,2598605218.0,2509468313.0,2712598395.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,1383239708.0,1648964781.0,1386594524.0,1786653129.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,549950000.0,549950000.0,112950000.0,92950000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1208439030.0,4011819024.0,954852840.0,719127479.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-543807766.0,-582316789.0,-539195677.0,-515661134.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,14456137622.0,9929618830.0,10115894086.0,9489947548.0
1. Hàng tồn kho,1. Inventories,14702269332.0,10172631466.0,10379934365.0,9678157396.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-246131710.0,-243012636.0,-264040279.0,-188209848.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,1335729478.0,1266000796.0,1228657851.0,1089892468.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,78425935.0,101370858.0,145046261.0,86302170.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,1225825590.0,1114546506.0,1026986433.0,920985895.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,31477952.0,50083432.0,56625157.0,82604402.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,34165250904.0,33268260459.0,32686247219.0,30929543230.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,2007182508.0,2101089927.0,2166486315.0,1535664694.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,9387654.0,12116565.0,6658742.0,9387654.0
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,998590641.0,1003565641.0,1050822486.0,1082947486.0
6. Phải thu dài hạn khác,6. Other long-term receivables,1089734360.0,1166470548.0,1197795451.0,443329554.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,-90530146.0,-81062827.0,-88790365.0,
II. Tài sản cố định,II. Fixed assets,13018242105.0,14066945341.0,14188916436.0,13623724717.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,12101611564.0,13126630497.0,13265657580.0,12752419662.0
      - Nguyên giá,    - Cost,25608202233.0,27217146159.0,27046188845.0,24737270915.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-13506590669.0,-14090515662.0,-13780531266.0,-11984851252.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,274355415.0,284769613.0,258148636.0,267140882.0
      - Nguyên giá,    - Cost,284562354.0,345830866.0,306829405.0,331401187.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-10206939.0,-61061253.0,-48680769.0,-64260305.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,642275126.0,655545232.0,665110221.0,604164173.0
      - Nguyên giá,    - Cost,1010359841.0,1013948744.0,1014614800.0,841584046.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-368084715.0,-358403512.0,-349504579.0,-237419873.0
III. Bất động sản đầu tư,III. Investment properties,3307729293.0,2861812078.0,2741904027.0,2630966139.0
      - Nguyên giá,    - Cost,15893669482.0,15092442236.0,14883029761.0,14775662305.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-12585940189.0,-12230630158.0,-12141125734.0,-12144696166.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,9973693996.0,8853696893.0,8120896835.0,7971951087.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,9973693996.0,8853696893.0,8120896835.0,7971951087.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,3210898545.0,3000418761.0,3041079642.0,2937442284.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",2947884341.0,2737627285.0,2905688166.0,2802050808.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,334341011.0,328710081.0,201310081.0,201310081.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-73079107.0,-67670905.0,-67670905.0,-67670905.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,1752300.0,1752300.0,1752300.0,1752300.0
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,2647504457.0,2384297460.0,2426963964.0,2229794309.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,1467832083.0,1208160713.0,1180484776.0,1035852346.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,215571617.0,194655110.0,186500961.0,182107006.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",4846964.0,4556719.0,47722887.0,4834504.0
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,959253793.0,976924918.0,1012255339.0,1007000453.0
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,73557072927.0,65251034075.0,59261205673.0,56517726006.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,43382833429.0,37625052562.0,33975052098.0,31813782647.0
I. Nợ ngắn hạn,I. Short -term liabilities,21724658276.0,19952386099.0,17877141946.0,16737645326.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,3100806520.0,3250170261.0,3289580149.0,2325870812.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,2025770210.0,1822627185.0,1637629717.0,1745957797.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,1305045697.0,1076041846.0,752608581.0,365176124.0
4. Phải trả người lao động,4. Payable to employees,640050746.0,458848543.0,361765656.0,286542332.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,1461023690.0,1640615735.0,1444712380.0,1406998508.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,186964061.0,112040287.0,117828382.0,125870916.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,466629708.0,1256537036.0,527719669.0,418667675.0
