item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,39906883733.0,34060209910.0,30296407854.0,32262726562.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,387718997.0,307904497.0,298572005.0,173974040.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,39519164737.0,33752305413.0,29997835849.0,32088752522.0
4. Giá vốn hàng bán ,4. Cost of goods sold,31089960521.0,26990119883.0,24489090823.0,25630732313.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,8429204216.0,6762185530.0,5508745026.0,6458020209.0
6.Doanh thu hoạt động tài chính ,6. Financial income,1256401074.0,1500290823.0,449714921.0,731205571.0
7. Chi phí tài chính ,7. Financial expenses,1767541294.0,1689902579.0,1888935607.0,2266078300.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,1183322814.0,1077046188.0,1378991490.0,1363217088.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,132594291.0,37000292.0,60800609.0,36049598.0
9. Chi phí bán hàng ,9. Selling expenses,1428620478.0,1278637560.0,1140667296.0,1289959042.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,2065649798.0,1750292537.0,1574517689.0,1668152641.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,4556388011.0,3580643969.0,1415139964.0,2001085394.0
12. Thu nhập khác ,12. Other income,154420097.0,152427321.0,84101655.0,135937770.0
13. Chi phí khác ,13.Other expenses,74796018.0,120237991.0,102258632.0,56470451.0
14. Lợi nhuận khác,14. Other profit ,79624080.0,32189330.0,-18156977.0,79467318.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,4636012091.0,3612833298.0,1396982987.0,2080552712.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,1617866298.0,953319064.0,616994351.0,540489377.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),61205240.0,-9816234.0,-83895610.0,8306533.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,2956940553.0,2669330469.0,863884246.0,1531756801.0
Lợi ích của cổ đông thiểu số,Minority's interest,1481479009.0,1038032525.0,533526952.0,1162840478.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,1475461544.0,1631297944.0,330357295.0,368916323.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1635.0,1910.0,388.0,433.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
