item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,3681916892.0,2811806015.0,2765202478.0,1863151528.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,3681916892.0,2811806015.0,2765202478.0,1863151528.0
4. Giá vốn hàng bán ,4. Cost of goods sold,3403401087.0,2573106128.0,2546645614.0,1739395768.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,278515805.0,238699887.0,218556865.0,123755760.0
6.Doanh thu hoạt động tài chính ,6. Financial income,2767322.0,2939414.0,376901.0,11546281.0
7. Chi phí tài chính ,7. Financial expenses,60422102.0,52852590.0,58444588.0,17535242.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,59665226.0,52213957.0,57755698.0,17442470.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,3157118.0,-878793.0,3263821.0,3208010.0
9. Chi phí bán hàng ,9. Selling expenses,106452963.0,84366566.0,91792461.0,59167272.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,107289173.0,87387129.0,72974965.0,39897878.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,10276006.0,16154223.0,-1014427.0,21909659.0
12. Thu nhập khác ,12. Other income,15688690.0,7609835.0,1397146.0,8176337.0
13. Chi phí khác ,13.Other expenses,1497104.0,2838505.0,64482.0,643262.0
14. Lợi nhuận khác,14. Other profit ,14191586.0,4771330.0,1332665.0,7533075.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,24467592.0,20925553.0,318238.0,29442735.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,5515091.0,8012685.0,5490685.0,11431599.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-1210205.0,-2183043.0,-5457265.0,-8648411.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,20162706.0,15095911.0,284818.0,26659546.0
Lợi ích của cổ đông thiểu số,Minority's interest,414581.0,850362.0,-4810351.0,1899748.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,19748126.0,14245549.0,5095168.0,24759798.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),987.0,712.0,255.0,2110.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,1.0,,,2.0
